Sentence,Experience,Drug
"I have taken Tamoxifen since February and feel awful.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Afraid I will age another 20 years in 4 1/2.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Not fun but at least I'm alive.Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:32yr old with est+, her2+ breast cancer which had spread to lymph nodes,mast,radiation,chemo and herceptin(scans showed cancer free at last check up).","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"wish i had a crystal ball : ) i love life, and want to live but thinking at some stage that quality outweighs the effects of taking tamoxifen!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"after modified radical mastectomy with all lymph nodes removed L. 3 were malignant.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I had 2 rounds of AC chemo, didn't work, had 6 rounds of Taxotere, Carboplatin and 52 weeks of Herceptin,2 lumpectomys and 7 weeks of radiation.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Really bad leg, foot cramps and sometimes I get them in my arms.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:I had stage 1 Breast Cancer, lumpectomy,  no chemo, followed by 6 1/2 weeks of radiation.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:I had radation for 6 weeks 5 times a weeks and was very depressed by that, then started Prosac and Tomoxfen, after several weeks I was told that I have to change the Prozac to Trazodone and the side affects of these two drugs make me wonder if it is worth it, I am not sure I want to keep this up for the next 4 1/2 years.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"So far, so good, as far as being cancer-free.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I hope that with time, they will calm down.Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I've had 5 years of clean tests.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"The only problem was a few more leg cramps.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I did gain about 10 pounds, but only because I was not active.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Stay active and I don't think you will gain weight.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:Diagnosed with stage II at age 36 but I didn't panick.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Chemo for 5 months, then 7 weeks of radiation- I didn't panick.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Then I was told I had to take Tamoxifen for 5 years - I panicked.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I had all these horrible side effects envisioned...","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Finally I broke down and started taking them - and nothing happened!","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Weeks later - 2 depressed days.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Just wanted to let people know that even though many get horrible sideeffects, it doesn't have to happen.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"You have to try it and see if it works for YOU.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:My Story: Stage III Breast Cancer in one breast, opted for Bi-lateral mast, 6 treatments chemo (TAC), 5 years of Tamoxifen (which I discontinued after the first month).","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I was really stressing about whether or not to even start the drug but finally did so because ""Doctor knows best"".","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Well, they don't.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"They do the best they can and I'm grateful for them.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"But Doctors often recommend standard treatment for everyone (surgery, chemo, radiation, etc.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Whether you take Tamoxifen or not your cancer could come back.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"If they could tell me by taking Tamoxifen and dealing with the side effects that I would never get cancer again, I'd be the first one in line.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Do your research about this drug before you make your decision ....I'm glad I did!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Pet scan showed no spread, no cancer anywhere else.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Not worth it.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"No guarantee cancer will not recur with this drug so not putting myself through it.Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I also have trouble sleeping.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Don't know if these symptoms are from drug since I have been on it for awhile.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Feel like I need to stay on it for at least 2 more years.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I'm well past the menopause stageHide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:breast cancer reoccured Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:I was diagnosed with bilateral cancer in Jan. 2009 & was 46 at that time.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"My nephew had just committed suicide which did not help my emotional state...","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I struggle with staying on tam.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I feel my doctors are quite competent, & yet I wonder about their motives for pushing women to take tamoxifen.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:HOT SWEATS VERY BADHide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:2003 Invasive Duct.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"That spoke volumes to me about the risk of taking the drug.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:I hope to say that is really effective, but who knows long term?","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"They were rock solid before and were brittle and broke easily.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Also had memory loss and forgetfullness that has not gone away.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Chemo related and tamoxifen enhanced.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"But I'm still here, so it's all worth it!Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:I was diagnosed in Sept 2009 with Breast Cancer.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Oncologist took me off of it for six weeks to see if symptoms subside.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I feel vulnerable without it (the tamoxifen), hoping for an alternative drug.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I am peri-menopausal, so I understand some drugs will not work.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:I had stage 0 DCIS diagnosed in Sep 09, after two lumpectomies had to have a mastsectomy to get get clear results.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"However, I do have bad leg/foot cramps and occassional memory lapse.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:i had DCIS and i am on tamoxifen and i am scared of all the side effects can you please help me.Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Now, I guess my system gets use to it, I am fine now.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"No complain.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:Diagnosed July 2007, Stage 2, 6 of 8 nodes positive, lumpectomy,6 chemo treatments(taxotere, carboplatin and herceptin), 6 wks radiation, been taking tamoxifen since august or sept 2008.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"IT'S UNBEARABLE!!!!","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"No sex drive, vaginal dryness, blurry vision sometimes.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"My fear of recurrence makes me keep taking this drug.Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"other then that alot of fun!Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:I was diagnosed with Breast Cancer Stage 1 On November 1, 2009.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Lymphnodes negative---Estrogen Positive--Oncodyte Test was good---I scored 12 out of 100. this gives me a 9% Re-occurrnece.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I had Lumpectomy surgery and 33 treatments of Radiation---The Radiation was great---I felt like I was in a tanning bed.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I am losing weight instead of gaining weight--which is great!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I know this will effect my quality of life for 5 years---I pray every day this does not come back---if taking this medication and possibly not even working for the next five years---I will do just that---because my health is that important to me.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:I'm 48 was diagnosed with breast cancer.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:I was diagnosed with Stage 1 breast cancer in June, 2006.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I've started Tamoxifen in October 2006 and switched to Arimidex in March 2008 but the side effects of Arimidex were terrible and switched back to Tamoxifen.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Has any been successful with any diet to counteract T?Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:I am getting some facial hair and skin break out.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Is anyone else having this problem.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I am almost 60 and this is annoying beyond words.Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:I was diagnosed with breast cancer in Sept 2007.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Overall, my experience has been good!Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:Before I started taking Tamoxifen I had read comments about how bad the side affects were.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:2 years ago I was diagnosed with bilateral breast cancer with 1 postive lumph node on the left.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I have also changed my diet to an antifungal diet recommended by Doug Kaufmann from knowthecause.com.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"God Bless!!!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:Finished treatment for Stage 1 Breast Cancer.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Now I've had an abnormal transvaginal ultrasound, another round of testing begins.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:er and her2+ stage 2b breast cancer, 16 chemo, 34 rads,52 weeks herceptin and Tamoxifen 2years.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Just went off T because of unbearable side effects.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Chronic yeast infections.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Depression got so bad I was thinking seriously of suicide even while on lexapro.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Gained 25 lbs.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Each of you need to make a decision based on your individual results and I encourage you to stay with T if you can bear the side effects.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:LCIS with 1mm invasive found with surgical biopsy.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Lumpectomy showed no more invasive in the breast but lots of LCIS.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Was scared to lose my hair again.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Thought others would like to know this.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Stay positive!!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Started on Tamoxifen for 9mths then after total hysterectomy was put on Arimidex-found the side effects terrible-changed to Femmera-still terrible.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"!Better to take something rather than nothing.Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"My oncoligist wants me to switch to Femara, but after talking to others who have taken it and reading the reviews on this site, I am hesitant to use it.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:This medication has been easy for me to use.Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:I WAS DIAGNOSED WITH TYPE 0 DCIS AND HAD DOUBLE=MASECTOMY AND RADIATON AT TIME OF MASECTOMIES, NO CHEMO NEEDED AND NODES HAD A CLEAR MARGIN.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I AM BEING ADVISED BY DR. TO TRY TAMOXAFLIN, BUT NOT SURE IT WOULD BE WORTH THE SIDE EFFECTS.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"ALSO I HAVE MVP AND ITS MY UNDERSTANDING THIS DRUG WOULD BE DANGEROUS TO ME AND INTENSIFY MY MVP.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I WOULD APPRECIATE ANY FEEDBACK ON THIS TO HELP ME IN MAKING A DECISION WITH THIS DRUG.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"PERSONALLY, I FEEL MY QUALITY OF LIFE IS MORE IMPORTANT AND WHO KNOWS YOU BETTER THAN YOURSELF.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"RIGHT...THANKSHide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:been on it for 9 months now.. hate it.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"thinning hair, wt gain,eye twitch.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"not sure it is worth it Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I took a 45 day break and went back on T on October 15th.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Blood work excellent and bilateral mammo perfect after a Stage 1 , lumpectomy and radiaiton last spring.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"The probitic acidopholous really, really works.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Dexascan slightly better this year than last.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"T works on building up the bones differently.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Too risky to take another bone med.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"By the grace of God things are going well.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"The only side effect that I believe I've experienced is one eye hurts occasionally.Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:i have been on this med since august of 2007 only side affect has been 25lb weight gain and vaginal dryness  Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Just hope the next 4yrs won't bring on worse effects.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:Stage 3A invasive ductal ca.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"No problems taking tamoxifen, happy that it's working for me so far (fingers crossed).","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:I am in my 5th year of survival.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:After Stage 1 breast cancer, lumpectomy and mammosite radiation.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Aromasin just was not tolerated well.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"All of my labs are always wonderful so I guess it is working.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:Thining of hair.Put on weight over the five years,and having trouble taking the weight off.Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:It's amazing how this medication affects some people and not others.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I was one of the unlucky ones.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Huge blood spots broke out under the skin on both legs, I lost about 20 lbs, and have never felt so bad in my life.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I will take my chances on recurrance of cancer than have the quality of life I had with this medication.Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Had 1st lumpectomy April 09 margins not clean had 2nd sugery May 09.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I an thankful and consider myself very lucky to now be a survivor.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I keep a positive attitude and stay active.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I did Tamoxifen for 4 years at which time my memory was so bad I was leaving the elctric burners on, on the kitchen range.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I also lost a very good job because of my memory problems.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"(My doctor said no one could prove that it caused memory loss at that time anyway.)","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"was Estrogen positive and had already had a complete hysterectomy 2 years before; but now cannot take hormone drugs ever again.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"My memory improved a lot after discontinuing the Tamoxifen.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Originally I was told that my memory would improve about a year after chemo; but it did not.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Still have memory problems; drawing blanks on words and transposing words; ie: hot for cold, etc.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"But yes, I am a survivor and thank God every day for the extra time I have been given!!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"God Bless you all as you go through this journey....Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:Well, got over the Candida Glibata and am now on Acidopholis which desolves in the large intestine, supposed to work better.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"If I get another yeast infection (3rd) he will switch me to Arimidex.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Then, I will need a Dexascan first since I went off Actonel years ago since I was afraid of getting cancer of the bone.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Have had some weight gain, but uncertain if this is due to the medication or just knowing it could happen; Also, have had some cramping in my legs, but again, this also occurred before I began the Tamoxifen.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:the worst thing ever.was on for 7 weeks sweating so bad then could not walk.if a drug can make yu not walk iys not going in my body..Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Hoping side effects won't continue the 5 years but thinking if effective keeping recurrance at bay I will tolerate them.Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:Tamoxifen has cause me to have severe leg cramping, and my left knee has 7mm of fluid in it and is unable to bend.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I also am experiencing weight gain and memory loss.Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:After being on this drug for almost 9 months, I am in the midst of my second yeast infection in as many months.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Everyone thinks I am bonkers but I googled Tamofifen + yeast infection and there it was!","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Anyone else have this problem?Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I'm pretty sure it's from the tamoxifen- has anyone else experienced this?Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"None of my doctors can tell me what is wrong.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"My hands look as if I am getting RA.Diagnosis was negative.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Just started with ache in bones & muscles.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I also found summer heat & outside activities bother me.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Test coming back great .I feel some of the symptoms that others complain about is from forcing your body into menopause before it is ready.Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I have not had these side effects with Tamoxifen, however, I have had some weight gain.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"The symptoms increased dramatically when I started using tamoxifen.Had to stop taking it after 2.5 years.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I was severely depressed and even contemplated suicide.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Was crippled by arthritis, couldn't remember anything for more than a couple of minutes, became disoriented, emotionally unstable.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I'm a clinical psychologist, Ph.D., but had to stop working because of symptoms.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"None of my doctors could tell what was wrong with me.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I know many doctors who admit they won't treat a patient who won't take tam.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"This is unconscionable, as is the behavior of doctors who withhold discussing possible side effects for fear patient will refuse it.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I think it is absolutely essential that these cognitive symptoms receive attention and research.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Patients with ADHD MUST BE WARNED of possible side effects.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"This drug can ruin your life.Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Hate it.Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:I had invasive, Stage 1.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"After taking this drug for 12 months I was exhausted and had nausea every morning that lasted through the entire day at times.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Luckily my oncologist suspected liver damage and sent me to a liver specialist.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"After consulting with my oncologist and radiologist we decided the risk to my liver was far greater than the risk of reoccurance.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"It's been almost a year now and I feel great!Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:Had Breast Cancer July 07.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Sister and I both have had breast cancer.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"High risk for her type XXXneg.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:I am greatful that there is such a drug out that can stop or slow down the estrogen in the breast to keep the cancer at bay, I am not pleased with the mood swings, irability and the not sleeping and feeling agitated all the time...then again I am not convienced that it is the medication that is causing this but rather the fact is that cancer causes deppression and to find out now that I was just prescriped an anti deppressent from my family doctor with hopes of getting back to my happy go lucky self I see that the two do not mix...so I will not be starting celexa 'what I was prscribed' but instead I will be calling back my family doctor and directing her to the site I found and see where we go from here!","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I have only been on tamoxifen for three months now, I had to have the surgery then Radiation and after that I was rather weak and had to rebuild my strenght so that they could remove my thyroid 'had multi gouiters on both sides 172 grams removed on the right side and 133 from the left, so large that the surgeon I decided on stated that mine was the largest he had yet to see and remove in the USA and he is very notable for his work, an artist of sort if I say so my self 'I have such a small scare that is hardly noticable that surprised me to high heaven!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"This drug has made my life miserable.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I am a mother of 2 young girl and wife to a very supportive man.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I am the only 1 of 7 girls (2nd to youngest)to have breast cancer.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I starting taking this farce 2 months after initial surgery (no more breast tissue).","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"After I quit taking last month I want to get busy in the bedroom, exercise, don't have to keep buying clothes every week, take my girls to have fun and the sweats and cramping in legs and feet have decreased to a dull roar.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I felt I was pushed into taking this pill and I see no benefit to my quality of life.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I will not take multiple other drugs to keep this other cancer causing pill under control.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I enjoy keeping my wits about me to take care of my family,make choices to improve mental and physical health.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:I've been stable for 3 years.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I have awful sweats.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Sometimes breathing become difficult.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I continue because I'm afraid to stop.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:""Get ready for the ride""...as a doctor described candidly what he has seen with this drug.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I will be as simplistic as possible.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Treatment should include a slower introduction to the drug and move the dosage up to avoid the side effects.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I grind my pill up and put it in yogurt.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"They wanted me on 20 mg but the side effects were severe and I went on 10mg.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"My mother survived breast cancer and was given 5 mg.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I think this is a miracle drug from what we have seen in my family.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:this medication cause me a lot of other problems.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"To deal with the side effect I was taking lexapro to deal with the panic attach, xanax, and a high blood pressure medication.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I am not sure if the cancer will be back, but I really needed my life back to normal.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"When he told me only 3% and yet refused to change me to another drug, I quit taking it myself.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I am now about to go back for another lump found in my breast (in the scar tissue) and will find out the results soon.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Even so, I am glad I did not continue this drug.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:Having tried two other drugs, aromitase inhibitors, before going to this one, the biggest problem I have with this one is the leg and foot cramps.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Other than that, I prefer it to the last two.Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:breast cancer but I developed blood clots in my lungs and have been taken off of itHide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I do get sad but never suicidal or deeply depressed.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Giving up watching the news and crime shows daily cured my blues.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Gained some weight and ran to see Jenny Craig!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I have had some increased amounts of hair falling out however completely unnoticeable.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"What a nice bonus!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I have also had three reconstructive surgeries while taking Tamoxifen with no problems.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Attitude is 90% of the cure.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I am happy, I am alive!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Don't sweat the little side affects, things could always be worse.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Good luck to you all.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:I have been taking tamoxifen for 6 months now, day and night sweats get worse every day and night Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:After lumpectomy, radiation, chemo + herceptin,have taken Tamoxifen for 6 months with only change so far being cessation of periods-a good thing for me!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:This was possibly the worst medication I ever attempted to take.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"It was even worse in it's side effects.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Depression  Was so bad that I was threatened with termination from work.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Was told ""Having cancer was not as bad as getting a divorce"".","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"My depression was so bad that I am now on Cymbalta, thank goodness it has helped.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I am still having side effects after almost a year but they are slowly disappearing.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Hard time sleeping, sleep aids make me feel groggy.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Weight gain, was always thin before, now it's hard to lose.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
