Sentence,SymptomCriticality,Symptom,Drug
"night sweats, headaches.",Symptoms are possibly bad: symptoms mentioned but no verb found,headache,tamoxifen
the only side effects i have experienced is some headaches.,Symptoms are possibly bad: symptoms mentioned but no verb found,headache,tamoxifen
"notice pain in left heel, hair loss & brittle, ravenous appetite & weight gain, blurry vision, only occasional hot flash (tolerable).",Symptoms are possibly bad: symptoms mentioned but no verb found,hair loss,tamoxifen
"i had swelling of face hands and feet, weight gain, unbearable leg and feet pain.",Symptoms are bad: Presence of negative verb + symptoms,pain,tamoxifen
"hopefully on tamoxifen again, i will have the night sweats again but not the pain i have been experiencing with aromasin.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
i am sooo tired all the time.,Symptoms are bad: Presence of negative verb + symptoms,tired,tamoxifen
"i'm having hot flashes, but they started with chemo, so don't know if it was that or the tamoxifen.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"cramping toes, unbelievable hot flashes, no appetite, extreme tiredness, fuzzy brained....i could go on.",Symptoms are bad: Presence of negative verb + symptoms,hot flashes,tamoxifen
i have experienced major hot flashes day and night.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"comment:today was my first tablet i am a healthncare professional and am not looking forward to this experience i was diagnosed wit stage 1 estr positive oncotype score 26
first lumpectomy 5/26 margins not clear 2nd surgery on 6/16  nodes neg 31 tx radiation which caused extreme fatigue--just getting over that-already have lots of joint pain and hard to walk and have situational depression so will be interesting to see if tamox increases symptoms i have put it in god's hands to help me get through the next 5 years and have good support system wish me luck and many prayershide full comment",Symptoms are bad: Presence of negative verb + symptoms,fatigue,tamoxifen
"have had joint pain, depression, extreme fatigue, off and on with hot flashes ongoing.",Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,tamoxifen
"comment:the first day i took thhis medication, i was got very sleepy, laid down for about an hour, and i woke up vomitingfor a long period of time , and was scared to take it agian until i consulted my docter.",Symptoms are bad: Presence of negative verb + symptoms,vomiting,tamoxifen
"i then tried it agian a week later, and i have not had much sight effects except for the hot flashes.hide full comment",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
comment:i am suffering so much with joint pain.,Symptoms are bad: Presence of negative verb + symptoms,joint pain,tamoxifen
"my question is, can tamoxifen cause severe joint pain and deformity?hide full comment",Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,tamoxifen
"(muscle weakness, deep bone pain, fatigue etc.)",Symptoms are possibly bad: symptoms mentioned but no verb found,bone pain,tamoxifen
it felt like having fibro-myalgia and chronic fatigue syndrome at the same time.,Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,tamoxifen
comment:i do have leg pain which is quite significant.i have to take pain meds for it.,Symptoms are possibly bad: symptoms mentioned but no verb found,leg pain,tamoxifen
"i also get hot flashes that are different from usual, it is a feeling of hot and cold all over my body.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"i do get fatigued, but i train horses so i am very physical.",Symptoms are bad: Presence of negative verb + symptoms,fatigue,tamoxifen
"side effects, overheating, weight gain, loss of breath, tired, can't exercise, face stays red for hours after exercise or being in sun.",Symptoms are bad: Presence of negative verb + symptoms,tired,tamoxifen
"comment:when i first start taking it i had a allergic reaction, swelling of the tongue,hard time swallowing, trouble breathing and ended up in the emergency room, but since then i haven't had any problems with it.hide full comment",Symptoms are bad: Presence of negative verb + symptoms,swelling,tamoxifen
"depression, blood pressure high even w/pills to lower, outer vaginal rash/itching all over, joint pain i limp after sitting at my desk at work, or driving, isomni, sweating during the day just going to the bathroom or moving around, tired/ lack of motivation, gained 10 pounds immediately and then kept gaining and swelling everywhere could tell if i had any salt the day before.",Symptoms are bad: Presence of negative verb + symptoms,itching,tamoxifen
"only side effects i've experienced are heightened pms symptoms, including mood swings, night sweats, and extreme irritability.",Symptoms are possibly bad: symptoms mentioned but no verb found,irritability,tamoxifen
know i'm having really bad joint pain.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,tamoxifen
"couldn't sleep, weight gain, hair loss, deep depression, among other side effects.",Symptoms are possibly bad: symptoms mentioned but no verb found,hair loss,tamoxifen
"comment: shortness of breath,leg painhide full comment",Symptoms are possibly bad: symptoms mentioned but no verb found,leg pain,tamoxifen
jan 07-had hot flashes and night sweats for at least 1 year-no other side effects other than fatiguehide full comment,Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,tamoxifen
after 1 week of tamoxifen i got horrible hand pain.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
i realized that the pain started after taking tomoxifen and i stopped taking it.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
hand pain is slowly getting better but i really know it if i am late at taking the gabapentin.hoping to quit tamoxifen all together.hide full comment,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
comment:i personally have found tamoxifen to affect my life in two ways - tiredness and my eyesight has been affected tremendously.,Symptoms are possibly bad: symptoms mentioned but no verb found,tired,tamoxifen
i'm really leaving this post to help other women who have hot flashes.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
slight weight loss and diarreah.,Symptoms are possibly bad: symptoms mentioned but no verb found,weight loss,tamoxifen
"other than this issue, the side effects were lessening but some malaise persists.",Symptoms are possibly bad: symptoms mentioned but no verb found,malaise,tamoxifen
"side effects include weight gain,hair became dry & brittle, yeast infections, leg cramps, urine odor, and night sweats/hot flashes.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"comment:severe sweats day and night, dark urine with fowl odor discharge.hide full comment",Symptoms are possibly bad: symptoms mentioned but no verb found,dark urine,tamoxifen
"however, i am also experiencing a lot of pain in both armpits.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
i have swelling at times.,Symptoms are bad: Presence of negative verb + symptoms,swelling,tamoxifen
is anyone else experiencing pain and swelling in the armpits?hide full comment,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
"comment:i have been on this drug sense 4/08,i had stage 2 bc with no nodes, had both breast removed and had reconstruction....side effects are join pain in ankles and knees and wrists, i also have muscel pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
"other than some joint pain, and some hair loss, i really don't think my experience has been that difficult.",Symptoms are possibly bad: symptoms mentioned but no verb found,hair loss,tamoxifen
"have many side effects already reported, hot flashes, weight gain, extreme vag dryness, low sex drive.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"i have had some hot flashes and insomnia,but the worst symptom has been a very bitter taste in my mouth and dryness.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"comment:i'm doing good on tamoxifen, i just get hot flashes like really bad and i don't get much sleep..hide full comment",Symptoms are ok: Presence of positive verb + symptoms,hot flashes,tamoxifen
"the hot flashes have diminished, the night sweats are going away.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"comment:i have been on 10 mg in the morning and 10 mg at night for a year.my worst side effect has been severe joint pain.my toes hurt so bad sometimes that i cry.my legs and knees also hurt.i have gained about 40 pounds and i have a huge belly now.i have alot of vaginal discharge but have no problem with dryness.at first,the hot flashes were horrible but since i started taking effexor they are not as frequent.i am so glad that it is keeping the cancer away that i will take it regardless of the side effects.hide full comment",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"comment:have lost tyoo much weight,dizziness,blurred vision,weak muscles,diearhea,hot flashes more than usual!hide full comment",Symptoms are bad: Presence of negative verb + symptoms,blurred vision,tamoxifen
initially i had lots of hot flashes and my period stopped almost immediately(yeah!),Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
also a very dry vagina making sex impossible due to pain.,Symptoms are bad: Presence of negative verb + symptoms,pain,tamoxifen
"now, six months later, i wanted to ask if anyone else has experienced chronic diarrhea?",Symptoms are possibly bad: symptoms mentioned but no verb found,diarrhea,tamoxifen
i'm 39 years old and have had heavy or irregular bleeding with discharge every month.,Symptoms are possibly bad: symptoms mentioned but no verb found,bleeding,tamoxifen
"comment:i have real bad hot flashes, leg and joint pain sometimes are horrible.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"i get headaches...low back pain, and now have a bacterial infection and discharge.",Symptoms are possibly bad: symptoms mentioned but no verb found,back pain,tamoxifen
"comment:other than hot flashes, it has worked for mehide full comment",Symptoms are ok: Presence of positive verb + symptoms,hot flashes,tamoxifen
hopefully she can put me on a helathy diet that will result in weight loss.,Symptoms are possibly bad: symptoms mentioned but no verb found,weight loss,tamoxifen
"the hot flashes seemed to have subsided, now let's see about the sex drive.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"in the 9 months that i have been taking this horrible drug, i have had the following side effects:  loss of sexual desire, vaginal dryness, vaginal discharge, hot flashes, weight gain, fatigue (no matter how much i sleep), and a feeling of being mentally foggy.",Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,tamoxifen
once the pain starts it takes several weeks to go awayhide full comment,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
"i still don't have hot flashes, night sweats, or anything like that, but my period trickled off and now i've only had 1 period in the past year.",Symptoms are ok: Presence of positive verb + symptoms,hot flashes,tamoxifen
"uncontrollable hot flashes, horrible weight gain, pains and aches.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
hot flashes were not controllable even after effexor.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
had slight hot flashes for a few months but have since subsided.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
pins/needles type hot flashes went away after 90 days what a relief.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"comment:i was diagnosed at age 44 with early stage breast cancer..had lumpectomy and radiation..i was on tamoxifen for 5 years 2003-2008 and went through hot flashes and some vagingal discharge, but the worst side effect for me was joint pain...mostly in my hands, but sometimes wrists, elbows and shoulders...since my last pill, i have had no significant joint pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"whether that is significant or not..what bothered most was that no doctors admit that joint pain is a side effect of the drug...i suppose if the cancer does not come back, it was worth the agony for the five years.",Symptoms are bad: Presence of negative verb + symptoms,joint pain,tamoxifen
the hot flashes were uncontrollable.hide full comment,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"the hot flashes are even worse despite using  vit e, black cohash, & now trying clonidine and gabapentin: mood swings and depression plus worsened (long term) insomnia.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
had hot flashes and up the effexor xr to 75mg and much better.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
my menstrual flows are inconsistent with heavy bleeding.,Symptoms are possibly bad: symptoms mentioned but no verb found,bleeding,tamoxifen
i was given effexor which adds to my fatigue and too much increases nausea.,Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,tamoxifen
the worse symptom is the extreme fatigue.,Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,tamoxifen
i am grateful that i will soon be off tam (by the way also probably was a major contributor to extreme heavy bleeding which lead to a partial hyst.),Symptoms are ok: Presence of positive verb + symptoms,bleeding,tamoxifen
hot flashes for first month then no side effects at all.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
the hot flashes are tough and i've gained about 10 pounds but that is probably due to lack of exercise and poor eating habits.,Symptoms are ok: Presence of positive verb + symptoms,hot flashes,tamoxifen
i have terrible back pain and nerve pain (not sure if it is attributable to tamoxifen).,Symptoms are possibly bad: symptoms mentioned but no verb found,back pain,tamoxifen
some vaginal discharge but most of my symptoms of leg cramps and muscle pain have subsided with time.,Symptoms are possibly bad: symptoms mentioned but no verb found,muscle pain,tamoxifen
my dr. told me hot flashes are a good thing because they mean the tamoxifen is working - that makes them bearable.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"i can't believe they can't find a ""cure"" for the hot flashes/night sweats.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
comment:my biggest side effect is vaginal discharge/yeast type issues.,Symptoms are possibly bad: symptoms mentioned but no verb found,vaginal discharge,tamoxifen
"i just want to cry.i was always an easy going,happy  person, now i am tired ,hot and cranky.",Symptoms are possibly bad: symptoms mentioned but no verb found,tired,tamoxifen
comment:the first 60 days i experienced severe joint pain and heavy feeling in muscles-aching and mental foggines.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,tamoxifen
"comment:i have been on this med for 4 plus years and will soon be changing to femara....i have lost 30 pounds by changing my eating habits and reducing stress in my life...minor hot flashes on occasion, with no prob because i already handled that when i went thru menopause.",Symptoms are bad: Presence of negative verb + symptoms,hot flashes,tamoxifen
"leg cramps, night sweats and hot flashes keep me company while i'm not sleeping.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"i am having stiffness in my joints, very mild hot flashes and trouble sleeping.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"comment:i took the drug for 2 years.i started bleeding very bad(thank god my uterus was not cancerous)i had hot flashes so bad to where they kept me from a restful sleep,charley horses were painful and i felt i was depressed.been off the med for a year now,few mild hot flashes,no charley horses,not depressed,no bleeding ,feel better.hide full comment",Symptoms are possibly bad: symptoms mentioned but no verb found,bleeding,tamoxifen
"comment:hate tamoxifen with a passion - severe side effects - hot flashes, mood swings, weight gain, cramps, memory loss, forgetfulness, loss of motivation.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"there has been some weight gain and major hot flashes, being treated with effexor.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
have hot flashes day and night (reduced by using black cohosh).,Symptoms are ok: Presence of positive verb + symptoms,hot flashes,tamoxifen
comment:experienced all the symptoms of meno-pause plus severe headaches.,Symptoms are possibly bad: symptoms mentioned but no verb found,headache,tamoxifen
never had headaches prior to taking the rx.,Symptoms are possibly bad: symptoms mentioned but no verb found,headache,tamoxifen
"vision problems, nausea, vomiting, bone pain, fatigue, headaches, dizziness, clumsy, etc.",Symptoms are bad: Presence of negative verb + symptoms,bone pain,tamoxifen
"hot flashes (but nothing like the chemo flashes), weight gain, vaginal dryness and odor.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
i have the foot and leg cramps occasionally and have just started having some joint pain.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,tamoxifen
"fatigue, foot cramps, weight gain, malaise, depression, hot flashes...chose quality of life over quantity.",Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,tamoxifen
"hot flashes, joint aches and fatigue from beginning.",Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,tamoxifen
"dry skin, vaginal discharge and horrible ankle and foot cramps later.",Symptoms are possibly bad: symptoms mentioned but no verb found,dry skin,tamoxifen
comment:this is my 4th years on the drug but i did not know leg cramps were a side effect and i now am having break thru bleeding in the vaginahide full comment,Symptoms are possibly bad: symptoms mentioned but no verb found,bleeding,tamoxifen
"comment:seem to have ""charley horses"" both day and night(sometimes waking me out of a solid sleep).",Symptoms are possibly bad: symptoms mentioned but no verb found,charley horse,tamoxifen
"i had hair lost, hot flashes all the time and i got cancer again on my 5th year while taking tamoxifen.",Symptoms are bad: Presence of negative verb + symptoms,hot flashes,tamoxifen
"also had headaches at begining, daily.",Symptoms are possibly bad: symptoms mentioned but no verb found,headache,tamoxifen
"i have hot flashes sporatically, but that's all.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"feb/mar to oct 2015 severe fatigue, muscle weakness.swelling of knees and ankles and feet.",Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,armimidex
first week of oct had severe bone pain in fingers and toes.,Symptoms are possibly bad: symptoms mentioned but no verb found,bone pain,armimidex
pain and pins and needles in all 4 extremities.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
severe joint pain and i could not walk or use my hands.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,armimidex
"have joint pain which progressed to pain all thu body, bone scan shows widespread degenerative disease.",Symptoms are bad: Presence of negative verb + symptoms,joint pain,armimidex
"hot flashes were the worse and as i continued on the medicine they got so bad and started being accompanied with bouts of dizziness, once when driving.",Symptoms are possibly bad: symptoms mentioned but no verb found,dizziness,armimidex
would take pain pills on some days.,Symptoms are bad: Presence of negative verb + symptoms,pain,armimidex
"joint pain, i take fish oil at night and q-10 in the morning.",Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,armimidex
comment:i've only been on this drug for 6 months and i stopped it 2 weeks ago i cannot bear the joint and bone pain that it has caused.,Symptoms are possibly bad: symptoms mentioned but no verb found,bone pain,armimidex
"comment:after being on arimidex for almost a year, i had such tremendous breast pain following lumpectomy (both breasts) and lymph node (1) removal on each side, that i was advised to go off for a month, and the pain should go away.",Symptoms are possibly bad: symptoms mentioned but no verb found,breast pain,armimidex
"now the nervousness, dizziness, sleeplessness have emerged..",Symptoms are possibly bad: symptoms mentioned but no verb found,dizziness,armimidex
"i doubt i even needed to be on this horrible drug, which caused the following side effects: very stiff and painful joints - especially in the hands and feet, hot flashes, dry mouth, vaginal dryness, heart irregularities (had to be put on heart med to control), tired most days, minimal hair loss.",Symptoms are bad: Presence of negative verb + symptoms,dry mouth,armimidex
a question that i have not been to get a definitive answer to is:  are the weight gain sleeplessness temporary?hide full comment,Symptoms are possibly bad: symptoms mentioned but no verb found,sleeplessness,armimidex
i do have slight pain in the hip area and lower left side.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"i attended my doctor who said it was a kidney infection, but the pain is still there.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"i'm so sorry to hear from all of you the pain that you are in, its terrible to go on suffering after all you have gone through with the cancer itself.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"comment:i have been taking arimidex for the last four years and have one more year to go (i hope)
i have experienced hot flashes, tiredness, and thinning hair.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,armimidex
"i have been on this for over a year, i talked to the cancer doctor about all the pain, he said we will see where you are in 5 yrs.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
i don't know how much longer i can take this pain 24/7.....hide full comment,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"i was started on arimidex 2 months before i finished my chemotherapy so did not realize for a while that the fatigue, continued hair loss, nausea, sleep problems and joint pain were because of the arimidex.",Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,armimidex
a few weeks ago i experienced shortness of breath and chest pains.,Symptoms are possibly bad: symptoms mentioned but no verb found,chest pain,armimidex
the armidex has caused my already painful resistance unbearable !!!,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"also, i do not act like myself and the irritability causes me not to even want to be around myself.",Symptoms are ok: Presence of positive verb + symptoms,irritability,armimidex
having a active family with a beautiful six year old daughter the fatigue and depression is debilitating .,Symptoms are bad: Presence of negative verb + symptoms,fatigue,armimidex
"in this short period of time i have suffered waves of nausea, exhaustion, overall body pain that just cannot be alleviated with pain meds, sleeplessness and hot flashes that could smelt iron ore.",Symptoms are bad: Presence of negative verb + symptoms,hot flashes,armimidex
the doctor wants me to take effexor for the hot flashes but i vetoed that idea since i've not read anything positive about attempting to get off of that drug.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,armimidex
"oncologist put me on femera, but the aches and pain were worse.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"now i have 6 trigger fingers, constant shoulder and elbow pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
the swelling in my hands and knees have been unbearable.,Symptoms are possibly bad: symptoms mentioned but no verb found,swelling,armimidex
no more effexor of hot flashes either.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,armimidex
mussel pains.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"comment:started generic anastrozole may 2013; achy joints, weakness in hips; general itchiness; depression.",Symptoms are possibly bad: symptoms mentioned but no verb found,weakness,armimidex
developed itchy watery eyes in april of 2013 which has gotten worse.,Symptoms are possibly bad: symptoms mentioned but no verb found,watery eyes,armimidex
"the side effects have been night sweats, dry skin, and inability to sleep.",Symptoms are possibly bad: symptoms mentioned but no verb found,dry skin,armimidex
"comment:after 13  months on arimidex i have taken a ""drug holiday"" to see if the joint pain, aches, stiffness, fatigue, sleeeplessness, depression and general poor quality of life will improve.",Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,armimidex
"while taking arimidex, i did have hot flashes, thining of bone, higher cholesterol, but all controlled.",Symptoms are ok: Presence of positive verb + symptoms,hot flashes,armimidex
constipation and issue for me and minor bone and joint pain in the beginning not so much now.,Symptoms are possibly bad: symptoms mentioned but no verb found,constipation,armimidex
changing to the brand name to see if it will help with the constipation issues.,Symptoms are possibly bad: symptoms mentioned but no verb found,constipation,armimidex
"comment:tired, bone painhide full comment",Symptoms are bad: Presence of negative verb + symptoms,bone pain,armimidex
"i have had many side effects such as dizziness, bone pain, extreme weakness in my arms, sleepless nights, general exhaustion, tingling and numbness in my toes and fingers.",Symptoms are bad: Presence of negative verb + symptoms,bone pain,armimidex
"comment:lumpectomy & radiation 2/13 for stage 1, from beginning, lethary, very dry skin, loss of hair, nausea, dizziness along with extreme over all joint pain that greatly interferred w/sleep.",Symptoms are possibly bad: symptoms mentioned but no verb found,dizziness,armimidex
so far 2 weeks in & more joint pain.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,armimidex
i have pain throughout my body.,Symptoms are bad: Presence of negative verb + symptoms,pain,armimidex
aches and pains and stiffness all the time.,Symptoms are bad: Presence of negative verb + symptoms,pain,armimidex
i have stiffness in my hands and pain in my left elbow.,Symptoms are bad: Presence of negative verb + symptoms,pain,armimidex
sometimes i can't even get up from the chair.i take 2 anacins before i go to bed in the hope that the pain doesn't wake me up during the night.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"comment:joint pain,  breast is hurting, headaches, depression and always tiredhide full comment",Symptoms are bad: Presence of negative verb + symptoms,headache,armimidex
"there is also stiffness, some pain and the general feeling of being unwell.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
i now have very high cholesterol and high blood pressure (both new issues) and recurrent depression and anxiety disorder.,Symptoms are possibly bad: symptoms mentioned but no verb found,anxiety,armimidex
this includes seeing my immediate family which makes me feel even more guilty.,Symptoms are possibly bad: symptoms mentioned but no verb found,guilt,armimidex
began taking one cancer drug but after about 8 months found that the joint pain was so bad i could not even get up from the chair.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,armimidex
i was switched to a second drug and after 4 month found that the headaches were so bad i was throwing up on almost a daily basis.,Symptoms are possibly bad: symptoms mentioned but no verb found,headache,armimidex
"my oncologist warned me that i may have joint pain like my first drug but she did not tell me about the hair loss, or blinding daily headaches or strange pains in my thumbs and it's only been 4 months.",Symptoms are bad: Presence of negative verb + symptoms,hair loss,armimidex
i can't stand the headaches anymore.,Symptoms are possibly bad: symptoms mentioned but no verb found,headache,armimidex
"comment:i have been taking this rx for about 2 years, and i have been having painss and aches.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"i have pain in my right elbow, right wrist, both knees- which i had to get injections for.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
i am so tired all the time and my appitite comes and goes.,Symptoms are possibly bad: symptoms mentioned but no verb found,tired,armimidex
"i just wish i could be happy with this medicine, but to be honest i have stopped taking it a few times due to the pain.",Symptoms are ok: Presence of positive verb + symptoms,pain,armimidex
that doesn't even seem to help my pain.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"i do have hot flashes, joint pain and get tired terribly easy (dr says i'm severely anemic and i will be starting an iron drip next month).",Symptoms are bad: Presence of negative verb + symptoms,hot flashes,armimidex
"also, since i take it in the am, why do i get hot flashes at bedtime, after taking it like 12 hours later?",Symptoms are ok: Presence of positive verb + symptoms,hot flashes,armimidex
i have experienced nausea (which has lessoned over time) and also joint pain.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,armimidex
the joint pain started slowly in an elbow joint and now is in just about every joint in my body.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,armimidex
"i have gained weight, but feel that has been a direct result of my feeling tired alot and not exercising like i should.",Symptoms are ok: Presence of positive verb + symptoms,tired,armimidex
i have also read that those of us that experience joint pain are less likely to have a recurrence of the cancer after taking the arimidex.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,armimidex
"extreme anxity and depression, joint pain so bad i couldn't walk, can't sleep, body aches and muscle pain real bad.",Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,armimidex
"comment:i have been most fortunate as i am almost finished with my drug therapy, have had my first mamogram since surgery (all clear) and have had no known side effects; if the small amount of fatigue is from the medication, i can live with that until my therapy with the drug is complete; then be amazed when the fatigue disappears.",Symptoms are ok: Presence of positive verb + symptoms,fatigue,armimidex
"comment:dizziness, blurred eyes,sleepless nights,triggehir finger, low levell depression fatgue.hide full comment",Symptoms are bad: Presence of negative verb + symptoms,dizziness,armimidex
comment:in my fourth year with lots of severe roving bone pain and now muscle pain has started.,Symptoms are possibly bad: symptoms mentioned but no verb found,bone pain,armimidex
"i was having pain, swelling and numbness in my hands but that stopped once i quit taking glucosamine.hide full comment",Symptoms are bad: Presence of negative verb + symptoms,pain,armimidex
i stopped femara due to pain.,Symptoms are bad: Presence of negative verb + symptoms,pain,armimidex
"comment:joint pain, fatigue, neuropathy, soles of hands hot and painful most of the time.",Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,armimidex
stabbing pain in 2 to 3 toes at a time.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"wrists painful, ankles and elbow bone.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"1 week into arimisan joint pain, but not as bas as with arimidexhide full comment",Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,armimidex
"depression, joint pain so severe i could not sleep.",Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,armimidex
comment:at the beginning i felt fine....no unusual pain or complaints.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"pain in my arms and legs (couldn't stand for more than 5 mins), especially knees and elbows which swelled up.",Symptoms are bad: Presence of negative verb + symptoms,pain,armimidex
"dizziness, fatigue, weakness, headache (which went away eventually,) not sleeping, blurred vision, depression, absolutely no appetite, weight loss, hair loss, affected breast swelled up and was very painful.",Symptoms are bad: Presence of negative verb + symptoms,blurred vision,armimidex
immediate side affects joint/bone pain especially after sitting awhile and sleeping.,Symptoms are possibly bad: symptoms mentioned but no verb found,bone pain,armimidex
"developed trigger finger, joint pain, very dry eyes, sleep problems, hot flashes, memory issues.",Symptoms are possibly bad: symptoms mentioned but no verb found,dry eyes,armimidex
experience most of the usual side effects but the vaginal dryness along with the painfull sex is very disappointing.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"i have alot of pain in my hands and feet, and terrible hot flashs!",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"my lymphedema worsened, carpal tunnel worsened, night sweats were severe, depression, confusion.",Symptoms are bad: Presence of negative verb + symptoms,confusion,armimidex
i was warned that side effects include weight gain and increased hot flashes.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,armimidex
other suspicious side effects include one severe dizzy spell and pain in my foot though i do not have other noticiable joint pain.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,armimidex
i thought after being on it for a while pains would taper off or i would get used to it.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
