Post,Sentence,SymptomCriticality,Symptom,Drug
"except for the hot flashes","except for the hot flashes","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I haven't read all the reviews of this medicine but about 20 most recent ones, think I'm the youngest.  I was diagnoised in Aug 2011, did chemo, lumpsectomy with 27 lyphnodes removed, just completed radiation June 1, I was prescribe Tamox in march but didn't actually start taking til April, I was a lil skeptical about taking this med so still not taking it as should I take it on MWF instead of everyday but I still experience the leg joint pains, hot flashes (not as severe as when I was on chemo), headaches (didn't realize they were from the med til I read reviews), tiredness (thought that was from radiation).  I feel like older lady, because of the pain i feel of getting up or sitting down notice it alot in knees & heel of my foot. I also suppose to be on this pill for 5 yrs...gotta be a better alternative, why does every medicine you take have side effects....","i was diagnoised in aug 2011, did chemo, lumpsectomy with 27 lyphnodes removed, just completed radiation june 1, i was prescribe tamox in march but didn\'t actually start taking til april, i was a lil skeptical about taking this med so still not taking it as should i take it on mwf instead of everyday but i still experience the leg joint pains, hot flashes (not as severe as when i was on chemo), headaches (didn\'t realize they were from the med til i read reviews), tiredness (thought that was from radiation).","Symptoms are possibly bad: symptoms mentioned but no verb found",headache,tamoxifen
"tired and fatigue","tired and fatigue","Symptoms are bad: Presence of negative verb + symptoms",fatigue,tamoxifen
"I was also saddened to read that so many of us are struggling with the side effects of taking this medication. I have 3 1/2 more yrs to take it & am wondering how I am going to get through it... The side effects were gradual but now they are full blown...fatigue, depression, hot flashes, joint pain. I too have lost my pep in my step. My onco gave me Effexor but I am afraid to take another med. I am trying to exercise more to counter the depression.","the side effects were gradual but now they are full blown...fatigue, depression, hot flashes, joint pain.","Symptoms are possibly bad: symptoms mentioned but no verb found",fatigue,tamoxifen
"I am so saddened to read that other women are experiencing similar symptoms as myself - lethargy, mild depressive mood, night sweats, weight gain - I have lost the pep in my step.  Unsure if chemo treatment 2 years ago caused these changes, or the ongoing tomaxifen.  I don't want breast cancer again so I take it every morning, it is real, but worry about what impact it has on my life and relationships for 5 years ???","i am so saddened to read that other women are experiencing similar symptoms as myself - lethargy, mild depressive mood, night sweats, weight gain - i have lost the pep in my step.","Symptoms are bad: Presence of negative verb + symptoms",lethargy,tamoxifen
"Am a survivor, 1 year and 7 months now. I had a lumpectomy, lymph node disection which tested negative-cancer hasn't spread, then radiation. No chemo though dr said if the cancer comes back then chemo will definitely be done, which I dread. Am taking tamoxifen for 1yr 5mos and will do so for 5 years. There's night sweats, insomnia, leg cramps-this really painful, fits of depression, vaginal discharge everyday, always feeling tired...lost 20lbs on the first 2 months 'cause I was terrified that anything I eat would kill me, so I quit the sodas, canned and preserved foods, sweets, rice, breads ... losing weight was maybe good at first, but my taste buds were so sad and I was miserable. Since then I gained back 10 lbs, started eating more, though the occasional cheating on the sweets not good as this feeds the cancer...so far so good ... take care of yourselves, especially watch the diet.","there\'s night sweats, insomnia, leg cramps-this really painful, fits of depression, vaginal discharge everyday, always feeling tired...lost 20lbs on the first 2 months \'cause i was terrified that anything i eat would kill me, so i quit the sodas, canned and preserved foods, sweets, rice, breads ... losing weight was maybe good at first, but my taste buds were so sad and i was miserable.","Symptoms are bad: Presence of negative verb + symptoms",pain,tamoxifen
"I am experiencing serious hot flashes that last for hours. If I am active, even walking around the mall I begin sweating and it takes me until I can sit,and get in a very cool place before the sweating will stop. I don't know if there is something I can do to  help this problem or not but it is very annoying.","i am experiencing serious hot flashes that last for hours.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I have been taking tamoxifen 2.5 years and I just don't know when enough is enough?  I have suffered severe insomnia, extreme fatigue, been diagnosed with major depressive disorder, I can't eat, I am completely nonfunctioning.  I think about suicide everyday.  I work with my doctors and am on a high dose of effexor.  They have tried everything they can think of and nothing is helping me.  I'm just giving up hope and I have no quality of life.  Is it time to quit tamoxifen?","i have suffered severe insomnia, extreme fatigue, been diagnosed with major depressive disorder, i can\'t eat, i am completely nonfunctioning.","Symptoms are bad: Presence of negative verb + symptoms",fatigue,tamoxifen
"I get up wih a headache everyday. What ca I take that will make it go away","i get up wih a headache everyday.","Symptoms are possibly bad: symptoms mentioned but no verb found",headache,tamoxifen
"Wrote a review in 08/2011; It's been almost a year on T & so far so good.  The weight gain has not happened; the pain in the legs have subsided; sex drive & exhaustion I believe is just an ordinary part of life; the hot flashes are still there, but seem to only happen right after I take the T.  I take it in the evening around supper and have hot flashes on and off all night; I will report however, that my lining of my uterus has thicken and had a DNC last month; would really like have all that removed so that isn't a concern but have to follow protocol before surgery can happen.  Again, it's a simple solution to prevent breast cancer so I will continue another four years!","the weight gain has not happened; the pain in the legs have subsided; sex drive & exhaustion i believe is just an ordinary part of life; the hot flashes are still there, but seem to only happen right after i take the t.  i take it in the evening around supper and have hot flashes on and off all night; i will report however, that my lining of my uterus has thicken and had a dnc last month; would really like have all that removed so that isn\'t a concern but have to follow protocol before surgery can happen.","Symptoms are ok: Presence of positive verb + symptoms","hot flashes",tamoxifen
"Lethargy, loss of appetite","lethargy, loss of appetite","Symptoms are possibly bad: symptoms mentioned but no verb found",lethargy,tamoxifen
"i feel that this drug is working very well for me although the hardest thing for me are the hot flashes that comes along with taking this drug. also i do experience a little eye pain/blurred vision which could be side effects from other medications/illnesses. so far so good. i have one year &four months left on this drug. i am beating this disease!","i feel that this drug is working very well for me although the hardest thing for me are the hot flashes that comes along with taking this drug.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I am on tamoxifen for 5 months now.Diagnosed July 2010.Had removal of 6 limphs and there after chemo x 16.The removal and construction at once after that..The results was most satisfactory.Did not loose my breast and it looks quite normal.I am very gratefull for that.Radiation for 7 weeks every day followed.Started Tamoxifin in Sept 2011.I am gaining weight and struggles with fatigue and energy levels low.Hot flashes severe.","i am on tamoxifen for 5 months now.diagnosed july 2010.had removal of 6 limphs and there after chemo x 16.the removal and construction at once after that..the results was most satisfactory.did not loose my breast and it looks quite normal.i am very gratefull for that.radiation for 7 weeks every day followed.started tamoxifin in sept 2011.i am gaining weight and struggles with fatigue and energy levels low.hot flashes severe.","Symptoms are possibly bad: symptoms mentioned but no verb found",fatigue,tamoxifen
"Left masectomy in March 2010 with lymph node removal on the left side; side effects of tamoxifan are weight gain; hot flashes, my oncologist put me on gapapenten to stop the side effects and it works like a dream. I can sleep at night, I have NEVER gained weight in my life, but have gained 10 pds since being on tamoxifican.  I do not believe it does not cause weight gain as everyone else has the same side effects. I wish there was an alternative for peri menopause women, and hope it is effective, will see.","left masectomy in march 2010 with lymph node removal on the left side; side effects of tamoxifan are weight gain; hot flashes, my oncologist put me on gapapenten to stop the side effects and it works like a dream.","Symptoms are ok: Presence of positive verb + symptoms","hot flashes",tamoxifen
"In the beginning I didnt want to take Tamoxifen, I had read many horror stories and it kind of put you off. Anyway I have now been taking this medication for 3 years, side effects are weight gain and joint pain and hot flushes, but I truly believe its a small price to pay if these tablets stop the cancer coming back. I am losing weight after joining a slimming class, I take pain killers for the joint pain.......all in all after my initial kicking and screaming about taking Tamoxifen...I wouldnt be upset if I had to take them the rest of my life!","i am losing weight after joining a slimming class, i take pain killers for the joint pain.......all in all after my initial kicking and screaming about taking tamoxifen...i wouldnt be upset if i had to take them the rest of my life!","Symptoms are bad: Presence of negative verb + symptoms","joint pain",tamoxifen
"June 2005 at age 41 Stage 2A 4 rounds of chemo. 6 weeks radiation. I took Tamoxifen for the standard 5 years. Dr. let my stop taking this drug April 2011 and, now in Oct. my mamo showed 2 tumors. I am back on Tamoxifen for another 5 years! Can't live without it, can't live with it! What can you do? HATE the weight gain, the indigestion, and just feeling like a 70+ woman when, I am 47. Want to feel good enough to get all I can out of life! Because life is way to short!","hate the weight gain, the indigestion, and just feeling like a 70+ woman when, i am 47.","Symptoms are possibly bad: symptoms mentioned but no verb found",indigestion,tamoxifen
"Age 42 Breast cancer multi focal, Stage IIA two lympnodes positive, Mastectomy Nov 2010, AC+Taxol Jan 2011-June2011. I chose to wait 3 months before starting Tamoxifen on Oct 24, 2011. So far so good. I cannot identify the side effects directly related to tamoxifen because small side effects from Chemo still there a little bit. Hot flashes and joint pain from CHemo subsided and do not return with Tamoxifen. No bone pains or headaches. I have some sleeplessness but dealing with it by taking Tamoxifen in the morning, only one coffee in the morning, and dringking Camomile warm tea before bedtime. This is helping so far. Every other couple days, I will take 1-2 capsules of valarian roots to help get a good night sleep. You are not supposed to take this every day. Noticed slight weight gain but control with healthy eating and less portion of carbs at dinner time. No fried food. Big breafast and lunch with increase in vegetables and fresh fruits. I do not exercise! In fact,I notice a light weight loss this morning! I read a lot of reviews about this drug and took some preperation prior to starting Tamoxifen. I am now taking 1 Omega-3 in the morning, 1 multivitamin (1 a day woman) at lunch time and 1 calcium with D3/Mag/Zinc & 1 Omega-3 at Dinner time. I think this keeps me from having bone and joint pain and also keep blood clots which cause leg pains away. For those who have a lot of side effects, you might want to consult your doctor to see if these vitamins will help you. Good luck everyone! I hope my information helps!
","no bone pains or headaches.","Symptoms are bad: Presence of negative verb + symptoms","bone pain",tamoxifen
"Age 42 Breast cancer multi focal, Stage IIA two lympnodes positive, Mastectomy Nov 2010, AC+Taxol Jan 2011-June2011. I chose to wait 3 months before starting Tamoxifen on Oct 24, 2011. So far so good. I cannot identify the side effects directly related to tamoxifen because small side effects from Chemo still there a little bit. Hot flashes and joint pain from CHemo subsided and do not return with Tamoxifen. No bone pains or headaches. I have some sleeplessness but dealing with it by taking Tamoxifen in the morning, only one coffee in the morning, and dringking Camomile warm tea before bedtime. This is helping so far. Every other couple days, I will take 1-2 capsules of valarian roots to help get a good night sleep. You are not supposed to take this every day. Noticed slight weight gain but control with healthy eating and less portion of carbs at dinner time. No fried food. Big breafast and lunch with increase in vegetables and fresh fruits. I do not exercise! In fact,I notice a light weight loss this morning! I read a lot of reviews about this drug and took some preperation prior to starting Tamoxifen. I am now taking 1 Omega-3 in the morning, 1 multivitamin (1 a day woman) at lunch time and 1 calcium with D3/Mag/Zinc & 1 Omega-3 at Dinner time. I think this keeps me from having bone and joint pain and also keep blood clots which cause leg pains away. For those who have a lot of side effects, you might want to consult your doctor to see if these vitamins will help you. Good luck everyone! I hope my information helps!
","i have some sleeplessness but dealing with it by taking tamoxifen in the morning, only one coffee in the morning, and dringking camomile warm tea before bedtime.","Symptoms are possibly bad: symptoms mentioned but no verb found",sleeplessness,tamoxifen
"Age 42 Breast cancer multi focal, Stage IIA two lympnodes positive, Mastectomy Nov 2010, AC+Taxol Jan 2011-June2011. I chose to wait 3 months before starting Tamoxifen on Oct 24, 2011. So far so good. I cannot identify the side effects directly related to tamoxifen because small side effects from Chemo still there a little bit. Hot flashes and joint pain from CHemo subsided and do not return with Tamoxifen. No bone pains or headaches. I have some sleeplessness but dealing with it by taking Tamoxifen in the morning, only one coffee in the morning, and dringking Camomile warm tea before bedtime. This is helping so far. Every other couple days, I will take 1-2 capsules of valarian roots to help get a good night sleep. You are not supposed to take this every day. Noticed slight weight gain but control with healthy eating and less portion of carbs at dinner time. No fried food. Big breafast and lunch with increase in vegetables and fresh fruits. I do not exercise! In fact,I notice a light weight loss this morning! I read a lot of reviews about this drug and took some preperation prior to starting Tamoxifen. I am now taking 1 Omega-3 in the morning, 1 multivitamin (1 a day woman) at lunch time and 1 calcium with D3/Mag/Zinc & 1 Omega-3 at Dinner time. I think this keeps me from having bone and joint pain and also keep blood clots which cause leg pains away. For those who have a lot of side effects, you might want to consult your doctor to see if these vitamins will help you. Good luck everyone! I hope my information helps!
","in fact,i notice a light weight loss this morning!","Symptoms are possibly bad: symptoms mentioned but no verb found","weight loss",tamoxifen
"Age 42 Breast cancer multi focal, Stage IIA two lympnodes positive, Mastectomy Nov 2010, AC+Taxol Jan 2011-June2011. I chose to wait 3 months before starting Tamoxifen on Oct 24, 2011. So far so good. I cannot identify the side effects directly related to tamoxifen because small side effects from Chemo still there a little bit. Hot flashes and joint pain from CHemo subsided and do not return with Tamoxifen. No bone pains or headaches. I have some sleeplessness but dealing with it by taking Tamoxifen in the morning, only one coffee in the morning, and dringking Camomile warm tea before bedtime. This is helping so far. Every other couple days, I will take 1-2 capsules of valarian roots to help get a good night sleep. You are not supposed to take this every day. Noticed slight weight gain but control with healthy eating and less portion of carbs at dinner time. No fried food. Big breafast and lunch with increase in vegetables and fresh fruits. I do not exercise! In fact,I notice a light weight loss this morning! I read a lot of reviews about this drug and took some preperation prior to starting Tamoxifen. I am now taking 1 Omega-3 in the morning, 1 multivitamin (1 a day woman) at lunch time and 1 calcium with D3/Mag/Zinc & 1 Omega-3 at Dinner time. I think this keeps me from having bone and joint pain and also keep blood clots which cause leg pains away. For those who have a lot of side effects, you might want to consult your doctor to see if these vitamins will help you. Good luck everyone! I hope my information helps!
","i think this keeps me from having bone and joint pain and also keep blood clots which cause leg pains away.","Symptoms are bad: Presence of negative verb + symptoms","joint pain",tamoxifen
"The side effects of Tamoxifen are terrible, especially the weight gain--10 pounds a week the first five weeks! The headaches were also migraine-level but did not respond to treatment.  I was removed from treatment on this medication because of these and other side effects after 5 weeks, so its effectiveness cannot be really examined accurately.","the headaches were also migraine-level but did not respond to treatment.","Symptoms are possibly bad: symptoms mentioned but no verb found",headache,tamoxifen
"Hot flashes
Side effect of this medicine. So bad I can't 
sleep,rest. Hope they will soon get better.","hot flashes
side effect of this medicine.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"Have been on this med since April 2008 after lumpectomy and 6 weeks radiation. Experienced weight gain. Hot flashes are getting less but bone and joint pain getting worse!  May ask doctor if I should discontinue at next appointment.  Don't want to risk the positive reasons for taking this med though","hot flashes are getting less but bone and joint pain getting worse!","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"Started T; took it for a year; the pain in the leg was so severe the dr stopped it; ran test; started it again in May, 2011; the pain has returned but not as bad; hot flashes have increased; this time it seems to make me more tired than usual, but not sure if the medication has caused this; loss of sex drive, but the side effects don't mention women in this area just men; so going to watch and document and compare; im hoping this medication is like other medications that is taken for a long period of time--either the side effects subside or one grows accustom to them....overall, I would rather prevent the breast cancer and sweat a little.  I was fortunate that my tumor was found in the early stage and most of it was removed when the biospy was taken; 6 wks of radiation and then 5 years of this...pretty simple   will make the effort to take this medication to make my life better/before breast cancer, hodgkins visited and had a stem cell transplant to rid myself of it; so Tamixofen doesn't seem to be a big deal to help prevent breast cancer!","started t; took it for a year; the pain in the leg was so severe the dr stopped it; ran test; started it again in may, 2011; the pain has returned but not as bad; hot flashes have increased; this time it seems to make me more tired than usual, but not sure if the medication has caused this; loss of sex drive, but the side effects don\'t mention women in this area just men; so going to watch and document and compare; im hoping this medication is like other medications that is taken for a long period of time--either the side effects subside or one grows accustom to them....overall, i would rather prevent the breast cancer and sweat a little.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"Stage 1 invasive BC. 2 Lumptectomies and 33 radiation treatments. I have taken Tamoxifen since February and feel awful. Bone/Joint pain; couldn't think clearly so Dr. put me on Clonidine. Not many hot flashes, but I don't sleep well; I now have age spots; I just feel old and rundown. I walk everyday so I do stay active, but the bone pain makes it difficult.Have had some depression but I am peri-menopausal so that could contribute. Not sure I will stay with Tamoxifen for 5 years. Afraid I will age another 20 years in 4 1/2. If my cancer wasn't caught so early and my chances of reoccurance were greater, it might be worth it. ","not many hot flashes, but i don\'t sleep well; i now have age spots; i just feel old and rundown.","Symptoms are ok: Presence of positive verb + symptoms","hot flashes",tamoxifen
"Stage 1 invasive BC. 2 Lumptectomies and 33 radiation treatments. I have taken Tamoxifen since February and feel awful. Bone/Joint pain; couldn't think clearly so Dr. put me on Clonidine. Not many hot flashes, but I don't sleep well; I now have age spots; I just feel old and rundown. I walk everyday so I do stay active, but the bone pain makes it difficult.Have had some depression but I am peri-menopausal so that could contribute. Not sure I will stay with Tamoxifen for 5 years. Afraid I will age another 20 years in 4 1/2. If my cancer wasn't caught so early and my chances of reoccurance were greater, it might be worth it. ","i walk everyday so i do stay active, but the bone pain makes it difficult.have had some depression but i am peri-menopausal so that could contribute.","Symptoms are possibly bad: symptoms mentioned but no verb found","bone pain",tamoxifen
"Diagnosed with DCIS in July 2009.  Two lumpectomies then 6 weeks radiation.  Been on Tamoxifen for 1 1/2 years.  Weight gain, hot flashes, early menopause, leg/foot cramps.  Not fun but at least I'm alive.","weight gain, hot flashes, early menopause, leg/foot cramps.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"The main side effect I have experienced taking Tamoxifen is hot flashes. I was premenopausel when I started the drug, so chemo + Tamoxifen have put me into menopause (I guess).","the main side effect i have experienced taking tamoxifen is hot flashes.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"32yr old with est+, her2+ breast cancer which had spread to lymph nodes,mast,radiation,chemo and herceptin(scans showed cancer free at last check up). can't believe how much my body has been put through the last 18months,have been on tamoxifen 9 months and experienced alot of side effects, vaginal itching/dryness, poor memory / concentration, muscle and joint aches and pains, fatigue/tiredness, nausea,mood swings,hot flashes,irratable,bad headaches, cramping and tenderness, weight gain etc etc. am seriously weighing up whether to discontinue as i don't know if i can do this for 5years. wish i had a crystal ball : ) i love life, and want to live but thinking at some stage that quality outweighs the effects of taking tamoxifen! wish i knew...","can\'t believe how much my body has been put through the last 18months,have been on tamoxifen 9 months and experienced alot of side effects, vaginal itching/dryness, poor memory / concentration, muscle and joint aches and pains, fatigue/tiredness, nausea,mood swings,hot flashes,irratable,bad headaches, cramping and tenderness, weight gain etc etc.","Symptoms are bad: Presence of negative verb + symptoms",fatigue,tamoxifen
"i really hate this drug tamoxifen, but i guess it will help me live, but i wonder, my face stays red, i have gained weight, hot flashes are hard too deal with,i had my breast ca in june2010, chemo and radiation,and i am 51 with a son and it has been very hard, breast cancer is a very powerful illness,and if you have not had this dz you don't know what women really go threw.........

","i really hate this drug tamoxifen, but i guess it will help me live, but i wonder, my face stays red, i have gained weight, hot flashes are hard too deal with,i had my breast ca in june2010, chemo and radiation,and i am 51 with a son and it has been very hard, breast cancer is a very powerful illness,and if you have not had this dz you don\'t know what women really go threw.........

","Symptoms are bad: Presence of negative verb + symptoms","hot flashes",tamoxifen
"I have been taking tamoxifen for about a year and a half. The hot flashes have been better. Still have the bone pain, but what upsets me more is the hair loss,weight gain and depression. ","the hot flashes have been better.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I have been taking tamoxifen for about a year and a half. The hot flashes have been better. Still have the bone pain, but what upsets me more is the hair loss,weight gain and depression. ","still have the bone pain, but what upsets me more is the hair loss,weight gain and depression. ","Symptoms are bad: Presence of negative verb + symptoms","bone pain",tamoxifen
"I might be exception to the rule Stage 2invasive ductal. Taxitere, Adriamycin, Cytoxin q3wks x 18 wks. after modified radical mastectomy with all lymph nodes removed L. 3 were malignant. Had 7 weeks radiation daily. Had Osteoarthritis prior to all of this (have been RN for 30+ years) Joint pain/weakness so severe I couldn't walk after 6months. Took myself off of it; quality of life was worth the risk but am still permanently damaged joint wise, but I'm here!!! Lymphedema is not a pleasant side affect. Avoid it if you can.","had osteoarthritis prior to all of this (have been rn for 30+ years) joint pain/weakness so severe i couldn\'t walk after 6months.","Symptoms are possibly bad: symptoms mentioned but no verb found","joint pain",tamoxifen
"I might be exception to the rule Stage 2invasive ductal. Taxitere, Adriamycin, Cytoxin q3wks x 18 wks. after modified radical mastectomy with all lymph nodes removed L. 3 were malignant. Had 7 weeks radiation daily. Had Osteoarthritis prior to all of this (have been RN for 30+ years) Joint pain/weakness so severe I couldn't walk after 6months. Took myself off of it; quality of life was worth the risk but am still permanently damaged joint wise, but I'm here!!! Lymphedema is not a pleasant side affect. Avoid it if you can.","lymphedema is not a pleasant side affect.","Symptoms are possibly bad: symptoms mentioned but no verb found",edema,tamoxifen
"I was dig.in march of 2010 with stage 2. I had surgery to remove the lump. they also remove 14 lympnodes. I went through 6 rounds of chemo and 7 weeks of radiation. I have been on tamoxifin since november 2010. So far the hot flashes arent bad but i do have joint and bone pain. The pain has been manageable with rest. I also have to take neurontin for numbness in my feet from the chemo. I havent noticed any sideaffects yet.","so far the hot flashes arent bad but i do have joint and bone pain.","Symptoms are possibly bad: symptoms mentioned but no verb found","bone pain",tamoxifen
"I was 37 when I was dia. w/invasive ductal carcinoma stage3, est+, hers 2+, prog+. I had 2 rounds of AC chemo, didn't work, had 6 rounds of Taxotere, Carboplatin and 52 weeks of Herceptin,2 lumpectomys and 7 weeks of radiation. Have been on Tamoxifen for 1 1/2 years and I have hot flashes that come and go, along w/my period. Really bad leg, foot cramps and sometimes I get them in my arms. Bone/joint/muscle pain and major weight gain. I don't know if I can do this for 3 1/2 more years. ","have been on tamoxifen for 1 1/2 years and i have hot flashes that come and go, along w/my period.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I had stage 1 Breast Cancer, lumpectomy,  no chemo, followed by 6 1/2 weeks of radiation.  Have been on Tomoxifn for 4 months now and have had awful side effects, Hot flashes during the day and night so severe, I have to sleep on a towel - because it gets soaked everytime I have one and usually have to reapply my make up during the day.  Dr. put me on effexor to ease the side effects - no luck.  Haven't slept thru the night in 4 months and have started to get hip and ankle pains along with alot of forgetfulness - Meet with my oncologist in two weeks - Is it worth it?  Can I do this for 4 1/2 more years?","have been on tomoxifn for 4 months now and have had awful side effects, hot flashes during the day and night so severe, i have to sleep on a towel - because it gets soaked everytime i have one and usually have to reapply my make up during the day.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I had stage 1 Breast Cancer, lumpectomy,  no chemo, followed by 6 1/2 weeks of radiation.  Have been on Tomoxifn for 4 months now and have had awful side effects, Hot flashes during the day and night so severe, I have to sleep on a towel - because it gets soaked everytime I have one and usually have to reapply my make up during the day.  Dr. put me on effexor to ease the side effects - no luck.  Haven't slept thru the night in 4 months and have started to get hip and ankle pains along with alot of forgetfulness - Meet with my oncologist in two weeks - Is it worth it?  Can I do this for 4 1/2 more years?","haven\'t slept thru the night in 4 months and have started to get hip and ankle pains along with alot of forgetfulness - meet with my oncologist in two weeks - is it worth it?","Symptoms are possibly bad: symptoms mentioned but no verb found","ankle pain",tamoxifen
"Diagnosed with DCIS in left breast Jan 2010.  Lumpectomy & reconstruction.  No radiation or chemo as it was early stage.  On tamoxifen for 9 months. Right ankle swollen and now left hand & shoulder swells & is painful. Have to have more biopsies next week so I don't know if it really works.","right ankle swollen and now left hand & shoulder swells & is painful.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,tamoxifen
"I have been taking Tamoxifen for almost 2 years. So far, so good, as far as being cancer-free. 

The main side effects for me:  joint pain, but some of that has subsided; and hot flashes.  The hot flashes are pretty extreme and sometimes make me feel nauseated.  I have been given neurontin to help with the hot flashes.  It does help, but I still have them.  I hope that with time, they will calm down.","the hot flashes are pretty extreme and sometimes make me feel nauseated.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I have been taking Tamoxifen for almost 2 years. So far, so good, as far as being cancer-free. 

The main side effects for me:  joint pain, but some of that has subsided; and hot flashes.  The hot flashes are pretty extreme and sometimes make me feel nauseated.  I have been given neurontin to help with the hot flashes.  It does help, but I still have them.  I hope that with time, they will calm down.","i have been given neurontin to help with the hot flashes.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"Diagnosed in December 08.  Lumpectomy, 4 rounds of chemo and 7 weeks of radiation starting in January 09.  Began taking tamoxifen in June 09.  Experiencing some hot flashes, but nothing out of the ordinary.  Did gain a little weight, but with diet and exercise was able to lose that and more.  Can't say I've experienced joint pain.  Doc wants me to switch to arimidex, but after reading others' comments, I am going to stay on tamoxifen.","experiencing some hot flashes, but nothing out of the ordinary.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"Diagnosed in December 08.  Lumpectomy, 4 rounds of chemo and 7 weeks of radiation starting in January 09.  Began taking tamoxifen in June 09.  Experiencing some hot flashes, but nothing out of the ordinary.  Did gain a little weight, but with diet and exercise was able to lose that and more.  Can't say I've experienced joint pain.  Doc wants me to switch to arimidex, but after reading others' comments, I am going to stay on tamoxifen.","can\'t say i\'ve experienced joint pain.","Symptoms are possibly bad: symptoms mentioned but no verb found","joint pain",tamoxifen
"I have encountered hot flashes. The hot flashes are pretty severe. I am taking Effexor to help with those but that doesn't help me much.","i have encountered hot flashes.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I have encountered hot flashes. The hot flashes are pretty severe. I am taking Effexor to help with those but that doesn't help me much.","the hot flashes are pretty severe.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"Diagnosed with Stage IIIA Invasive Ductal Carc in right breast, elected Bi-lateral mast., Dr. said ""He got it All"", followed by 6 rounds chemo.  Pet scan showed no spread, no cancer anywhere else. Went on Tamox at oncologist urging, stopped after 3 weeks.  Too many hot flashes, ankle swelling, insomnia, plus anxiety over risk of serious side effects.  Not worth it. No guarantee cancer will not recur with this drug so not putting myself through it.","too many hot flashes, ankle swelling, insomnia, plus anxiety over risk of serious side effects.","Symptoms are possibly bad: symptoms mentioned but no verb found",anxiety,tamoxifen
"I have alot of hot flashes sometimes to the point of sweating.  I also have trouble sleeping.  I had bone a\pain in the beginning but that has vastly improved.","i have alot of hot flashes sometimes to the point of sweating.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I have alot of hot flashes sometimes to the point of sweating.  I also have trouble sleeping.  I had bone a\pain in the beginning but that has vastly improved.","i had bone a\pain in the beginning but that has vastly improved.","Symptoms are ok: Presence of positive verb + symptoms",pain,tamoxifen
"Have been on T for 3 years and 2 months after lumpectomy and radiation with mammosite for early stage DCIS. Went into immediate menopause. Have always had some hot flashes, but the last 6 months they have increased to being almost unbearable. Started being nauseated all the time; swollen throat, muscle aches and being more fatigued. Don't know if these symptoms are from drug since I have been on it for awhile. Need something to help with the nausea and sore throat. Feel like I need to stay on it for at least 2 more years. Tired of feeling so bad lately.","started being nauseated all the time; swollen throat, muscle aches and being more fatigued.","Symptoms are bad: Presence of negative verb + symptoms",fatigue,tamoxifen
"Have been on T for 3 years and 2 months after lumpectomy and radiation with mammosite for early stage DCIS. Went into immediate menopause. Have always had some hot flashes, but the last 6 months they have increased to being almost unbearable. Started being nauseated all the time; swollen throat, muscle aches and being more fatigued. Don't know if these symptoms are from drug since I have been on it for awhile. Need something to help with the nausea and sore throat. Feel like I need to stay on it for at least 2 more years. Tired of feeling so bad lately.","need something to help with the nausea and sore throat.","Symptoms are possibly bad: symptoms mentioned but no verb found","sore throat",tamoxifen
"Have been on T for 3 years and 2 months after lumpectomy and radiation with mammosite for early stage DCIS. Went into immediate menopause. Have always had some hot flashes, but the last 6 months they have increased to being almost unbearable. Started being nauseated all the time; swollen throat, muscle aches and being more fatigued. Don't know if these symptoms are from drug since I have been on it for awhile. Need something to help with the nausea and sore throat. Feel like I need to stay on it for at least 2 more years. Tired of feeling so bad lately.","tired of feeling so bad lately.","Symptoms are bad: Presence of negative verb + symptoms",tired,tamoxifen
