Post,Sentence,SideEffectsStatus,Drug
"Diagnosed with stage II at age 36 but I didn't panick. Went through 3 lumpactomies, then a mastectomy. Chemo for 5 months, then 7 weeks of radiation- I didn't panick. Then I was told I had to take Tamoxifen for 5 years - I panicked.
I had all these horrible side effects envisioned... Finally I broke down and started taking them - and nothing happened! No side effects to talk about - a couple of days of being extremely thirsty. Weeks later - 2 depressed days. 6 months later - achy fingers which I don't even know if it's related to Tamoxifen... it's been 9 months and I haven't had a single hotflash. Just wanted to let people know that even though many get horrible sideeffects, it doesn't have to happen. You have to try it and see if it works for YOU.  ","no side effects to talk about - a couple of days of being extremely thirsty.","No Side Effects",tamoxifen
"My Story: Stage III Breast Cancer in one breast, opted for Bi-lateral mast, 6 treatments chemo (TAC), 5 years of Tamoxifen (which I discontinued after the first month).  I was really stressing about whether or not to even start the drug but finally did so because ""Doctor knows best"".  Well, they don't.  They do the best they can and I'm grateful for them. But Doctors often recommend standard treatment for everyone (surgery, chemo, radiation, etc.), followed by 5 years of Tamoxifen.  Whether you take Tamoxifen or not your cancer could come back.  If they could tell me by taking Tamoxifen and dealing with the side effects that I would never get cancer again, I'd be the first one in line. But the truth is, there's no guarantee, so I'd like to make the choice about whether it's right for me rather than let a Doctor scare me into taking it.  Do your research about this drug before you make your decision ....I'm glad I did!         ","if they could tell me by taking tamoxifen and dealing with the side effects that i would never get cancer again, i\'d be the first one in line.","Side effects Present - because of no direct inverter word before ",tamoxifen
"Diagnosed with Stage IIIA Invasive Ductal Carc in right breast, elected Bi-lateral mast., Dr. said ""He got it All"", followed by 6 rounds chemo.  Pet scan showed no spread, no cancer anywhere else. Went on Tamox at oncologist urging, stopped after 3 weeks.  Too many hot flashes, ankle swelling, insomnia, plus anxiety over risk of serious side effects.  Not worth it. No guarantee cancer will not recur with this drug so not putting myself through it.","too many hot flashes, ankle swelling, insomnia, plus anxiety over risk of serious side effects.","Side effects Present - because symptoms mentioned",tamoxifen
"Have been on T for 3 years and 2 months after lumpectomy and radiation with mammosite for early stage DCIS. Went into immediate menopause. Have always had some hot flashes, but the last 6 months they have increased to being almost unbearable. Started being nauseated all the time; swollen throat, muscle aches and being more fatigued. Don't know if these symptoms are from drug since I have been on it for awhile. Need something to help with the nausea and sore throat. Feel like I need to stay on it for at least 2 more years. Tired of feeling so bad lately.","don\'t know if these symptoms are from drug since i have been on it for awhile.","Possibly no side effects",tamoxifen
"I taken Tamoxifen for (5) years after having stage (2) breast cancer 10 years ago.I underwent chemo & radiation at the time.Today,my breast cancer came back in my other breast.Thank God,It's a stage 0 & all that is reguire for me is ""radiation"".My concern today is after radiation I must ""orally"" take another Hormone Treatment for the next (5) years.I had terrible side effects in the past from taking Tamoxifen,mainly hot flashes,dryness with itching.I want to continue taking  some type of harmone treatment but I sure don't want any more increase of side effects.I'm now age 63 years of age & still occasionaly  sexually active.That was another side effect I didn't like.This happen 10 years ago,are their any new Harmone Replacements that I now can take besides Tamoxifen?Or will I have more increased side effects? I'm well past the menopause stage","i taken tamoxifen for (5) years after having stage (2) breast cancer 10 years ago.i underwent chemo & radiation at the time.today,my breast cancer came back in my other breast.thank god,it\'s a stage 0 & all that is reguire for me is ""radiation"".my concern today is after radiation i must ""orally"" take another hormone treatment for the next (5) years.i had terrible side effects in the past from taking tamoxifen,mainly hot flashes,dryness with itching.i want to continue taking  some type of harmone treatment but i sure don\'t want any more increase of side effects.i\'m now age 63 years of age & still occasionaly  sexually active.that was another side effect i didn\'t like.this happen 10 years ago,are their any new harmone replacements that i now can take besides tamoxifen?or will i have more increased side effects?","Side effects Present - because symptoms mentioned",tamoxifen
"I was diagnosed with bilateral cancer in Jan. 2009 & was 46 at that time.  It was caught early; stages 0 and 1 (non-invasive LC & DC stage 1). I opted for a bilateral mastectomy with reconstruction & saline implants that followed half a year after my mastectomies.  When I first went on the tam., I was miserable with hot flashes, joint pain, a terribly broken out face, and I could not sleep at night.  My nephew had just committed suicide which did not help my emotional state... I went off the tam. until I saw my oncologist, who strongly encouraged me to go back on it.  He said side effects generally subside after a few months.  I have now been on tam. for 1 1/2 years.  For the past 6 months, I've had terrible pain in my calves & easily pull my calf muscles when doing any kind of exercise.  This has been hard for me because I like to be active (tennis, aerobics, biking)& I've put on weight since being on the med.  I was also diagnosed with hypothyroidism after being on tam. for one year.  I was constantly cold & very fatigued - I attributed this to having 3 surgeries in 11 months.  I've now been on synthroid (75 mcg.) for 4 months & am feeling less tired & cold, but continue with the cramps/pulled muscles.  I struggle with staying on tam. - I feel as though my skin, face, & body have aged considerably in this short time.  I wonder how much of a risk there is for recurrence when there is little breast tissue left.  I feel my doctors are quite competent, & yet I wonder about their motives for pushing women to take tamoxifen.  If the muslce pain con't. & I can't figure out a way to treat it w/out more drugs, I am considering going off tam. altogether. ","he said side effects generally subside after a few months.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I was diagnosed in Sept 2009 with Breast Cancer.  Lumpectomy, followed by 35 radiation treatments.  Now on Tamoxifen, 20 MG for past 4 1/2 months.  Terrible hot flashes, do not sleep thru the night, rash on face, hip pain, rib pain.  Oncologist took me off of it for six weeks to see if symptoms subside.  I feel vulnerable without it (the tamoxifen), hoping for an alternative drug.  I am peri-menopausal, so I understand some drugs will not work.  Wondering if removal of ovaries only option?","oncologist took me off of it for six weeks to see if symptoms subside.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I had stage 0 DCIS diagnosed in Sep 09, after two lumpectomies had to have a mastsectomy to get get clear results. Luckily no radiation or chemo was needed. Now taking tamoxifen and thought there were no side effects. However, I do have bad leg/foot cramps and occassional memory lapse. Not sure if this is a side effect as I had the leg cramps before. ","now taking tamoxifen and thought there were no side effects.","No Side Effects",tamoxifen
"i had DCIS and i am on tamoxifen and i am scared of all the side effects can you please help me.","i had dcis and i am on tamoxifen and i am scared of all the side effects can you please help me.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I was diagnosed with Breast Cancer Stage 1 On November 1, 2009. Lymphnodes negative---Estrogen Positive--Oncodyte Test was good---I scored 12 out of 100. this gives me a 9% Re-occurrnece. I had Lumpectomy surgery and 33 treatments of Radiation---The Radiation was great---I felt like I was in a tanning bed. Since I have been on Tamoxifen-20mg. I have had side effects such as night sweats, headaches, dizziness and blurred vision. I am losing weight instead of gaining weight--which is great! I saw my doctor for other options-he said I can have my ovaries removed which would give me options of Femera, Aromasin or Arimidex. I checked on the reviews and the side effects tend to be simular. My other option would be to take 10mg in the am and 10mg in the PM to help reduce the side effects during the day when I am working. The other option would be to reduce to 10mg per day or not to take it at all---If I don't take it all all I will go from a 9% reoccurence to 13.5% re-occurrence. My doctor stated that I am youung and still producing Estrogen in my body---I  have decided that if I want to live a long life, I need to take this medication and just deal with the side effects. I know this will effect my quality of life for 5 years---I pray every day this does not come back---if taking this medication and possibly not even working for the next five years---I will do just that---because my health is that important to me.    ","i have had side effects such as night sweats, headaches, dizziness and blurred vision.","Side effects Present - because symptoms mentioned",tamoxifen
"I was diagnosed with Breast Cancer Stage 1 On November 1, 2009. Lymphnodes negative---Estrogen Positive--Oncodyte Test was good---I scored 12 out of 100. this gives me a 9% Re-occurrnece. I had Lumpectomy surgery and 33 treatments of Radiation---The Radiation was great---I felt like I was in a tanning bed. Since I have been on Tamoxifen-20mg. I have had side effects such as night sweats, headaches, dizziness and blurred vision. I am losing weight instead of gaining weight--which is great! I saw my doctor for other options-he said I can have my ovaries removed which would give me options of Femera, Aromasin or Arimidex. I checked on the reviews and the side effects tend to be simular. My other option would be to take 10mg in the am and 10mg in the PM to help reduce the side effects during the day when I am working. The other option would be to reduce to 10mg per day or not to take it at all---If I don't take it all all I will go from a 9% reoccurence to 13.5% re-occurrence. My doctor stated that I am youung and still producing Estrogen in my body---I  have decided that if I want to live a long life, I need to take this medication and just deal with the side effects. I know this will effect my quality of life for 5 years---I pray every day this does not come back---if taking this medication and possibly not even working for the next five years---I will do just that---because my health is that important to me.    ","i checked on the reviews and the side effects tend to be simular.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I was diagnosed with Breast Cancer Stage 1 On November 1, 2009. Lymphnodes negative---Estrogen Positive--Oncodyte Test was good---I scored 12 out of 100. this gives me a 9% Re-occurrnece. I had Lumpectomy surgery and 33 treatments of Radiation---The Radiation was great---I felt like I was in a tanning bed. Since I have been on Tamoxifen-20mg. I have had side effects such as night sweats, headaches, dizziness and blurred vision. I am losing weight instead of gaining weight--which is great! I saw my doctor for other options-he said I can have my ovaries removed which would give me options of Femera, Aromasin or Arimidex. I checked on the reviews and the side effects tend to be simular. My other option would be to take 10mg in the am and 10mg in the PM to help reduce the side effects during the day when I am working. The other option would be to reduce to 10mg per day or not to take it at all---If I don't take it all all I will go from a 9% reoccurence to 13.5% re-occurrence. My doctor stated that I am youung and still producing Estrogen in my body---I  have decided that if I want to live a long life, I need to take this medication and just deal with the side effects. I know this will effect my quality of life for 5 years---I pray every day this does not come back---if taking this medication and possibly not even working for the next five years---I will do just that---because my health is that important to me.    ","my other option would be to take 10mg in the am and 10mg in the pm to help reduce the side effects during the day when i am working.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I was diagnosed with Breast Cancer Stage 1 On November 1, 2009. Lymphnodes negative---Estrogen Positive--Oncodyte Test was good---I scored 12 out of 100. this gives me a 9% Re-occurrnece. I had Lumpectomy surgery and 33 treatments of Radiation---The Radiation was great---I felt like I was in a tanning bed. Since I have been on Tamoxifen-20mg. I have had side effects such as night sweats, headaches, dizziness and blurred vision. I am losing weight instead of gaining weight--which is great! I saw my doctor for other options-he said I can have my ovaries removed which would give me options of Femera, Aromasin or Arimidex. I checked on the reviews and the side effects tend to be simular. My other option would be to take 10mg in the am and 10mg in the PM to help reduce the side effects during the day when I am working. The other option would be to reduce to 10mg per day or not to take it at all---If I don't take it all all I will go from a 9% reoccurence to 13.5% re-occurrence. My doctor stated that I am youung and still producing Estrogen in my body---I  have decided that if I want to live a long life, I need to take this medication and just deal with the side effects. I know this will effect my quality of life for 5 years---I pray every day this does not come back---if taking this medication and possibly not even working for the next five years---I will do just that---because my health is that important to me.    ","my doctor stated that i am youung and still producing estrogen in my body---i  have decided that if i want to live a long life, i need to take this medication and just deal with the side effects.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I'm 48 was diagnosed with breast cancer. The side effects of Tamoxifin for me were weight gain, joints are painful and my face breaks out. Taking Effexor now and my hot flashes are completely gone. ","the side effects of tamoxifin for me were weight gain, joints are painful and my face breaks out.","Side effects Present - because symptoms mentioned",tamoxifen
"I was diagnosed with Stage 1 breast cancer in June, 2006.  I had mammosite radiation and 4 sesssions of chemo.  I've started Tamoxifen in October 2006 and switched to Arimidex in March 2008 but the side effects of Arimidex were terrible and switched back to Tamoxifen.  Overall the positives outweigh the negatives until I reach my 5 year in October 2011.  I've been able to deal with the hot flashes but the weight gain has been terrible and no matter what I do to lose nothing seems to work - it is very depressing.  However I keep telling myself that it is now only 1 1/2 years more and then i'm done.  Has any been successful with any diet to counteract T?","i\'ve started tamoxifen in october 2006 and switched to arimidex in march 2008 but the side effects of arimidex were terrible and switched back to tamoxifen.","Side effects Present - because of no direct inverter word before ",tamoxifen
"Have not had many side effects from the medication, but I do have the start of a cataract (don't know if this is related to the tamoxifen), hot flashes that have caused a sleeping problem and problems with low back pain and joint pain.","have not had many side effects from the medication, but i do have the start of a cataract (don\'t know if this is related to the tamoxifen), hot flashes that have caused a sleeping problem and problems with low back pain and joint pain.","Side effects Present - because symptoms mentioned",tamoxifen
"2 years ago I was diagnosed with bilateral breast cancer with 1 postive lumph node on the left.  I had bilateral lumpectomies and then received 6 wks of radiation, no chemo.  I was initally perscribed Arimadex and took it for about 6 months.  I had to stop because I couldn't tolerate the side effects. My expercience with Tamoxifen has been leg/foot cramping mostly at night, joint pain, short term memory problems, depression and hot flashes.    Last month my oncologist suggested taking SAMe 400mg 2-4 times daily for depression and joint pain. I have also changed my diet to an antifungal diet recommended by Doug Kaufmann from knowthecause.com.  So far my joint pain is about 80% better and my energy and motivation has noticably improved.  Still having ocassional leg cramps at night but the hot flashes have decreased...not sure if it's due to the diet change or the SAMe.  Hope this helps someone!
God Bless!!! ","i had to stop because i couldn\'t tolerate the side effects.","Possibly no side effects",tamoxifen
"er and her2+ stage 2b breast cancer, 16 chemo, 34 rads,52 weeks herceptin and Tamoxifen 2years. Just went off T because of unbearable side effects. Terrible hot flashes and night sweats. Severe joint and muscle pain. Chronic yeast infections. No sex drive. Depression got so bad I was thinking seriously of suicide even while on lexapro. No energy and can't sleep even with ambien. Gained 25 lbs. even while going to aerobics 3 times a week, weight lifting and walking 10 miles per week. Had to stop all this exercise due to pain. Been of T 7 days and symptoms are improving. I was told by my oncologist that effexor will interfere in the effectiveness of T. T is a miracle drug for some but at some point I had to make a choice between recurrence of cancer and quality of life and I only made the decision after much prayer and careful consideration and have left the rest up to my Lord Jesus. Each of you need to make a decision based on your individual results and I encourage you to stay with T if you can bear the side effects. ","just went off t because of unbearable side effects.","Side effects Present - because of no direct inverter word before ",tamoxifen
"er and her2+ stage 2b breast cancer, 16 chemo, 34 rads,52 weeks herceptin and Tamoxifen 2years. Just went off T because of unbearable side effects. Terrible hot flashes and night sweats. Severe joint and muscle pain. Chronic yeast infections. No sex drive. Depression got so bad I was thinking seriously of suicide even while on lexapro. No energy and can't sleep even with ambien. Gained 25 lbs. even while going to aerobics 3 times a week, weight lifting and walking 10 miles per week. Had to stop all this exercise due to pain. Been of T 7 days and symptoms are improving. I was told by my oncologist that effexor will interfere in the effectiveness of T. T is a miracle drug for some but at some point I had to make a choice between recurrence of cancer and quality of life and I only made the decision after much prayer and careful consideration and have left the rest up to my Lord Jesus. Each of you need to make a decision based on your individual results and I encourage you to stay with T if you can bear the side effects. ","been of t 7 days and symptoms are improving.","Side effects Present - because of no direct inverter word before ",tamoxifen
"er and her2+ stage 2b breast cancer, 16 chemo, 34 rads,52 weeks herceptin and Tamoxifen 2years. Just went off T because of unbearable side effects. Terrible hot flashes and night sweats. Severe joint and muscle pain. Chronic yeast infections. No sex drive. Depression got so bad I was thinking seriously of suicide even while on lexapro. No energy and can't sleep even with ambien. Gained 25 lbs. even while going to aerobics 3 times a week, weight lifting and walking 10 miles per week. Had to stop all this exercise due to pain. Been of T 7 days and symptoms are improving. I was told by my oncologist that effexor will interfere in the effectiveness of T. T is a miracle drug for some but at some point I had to make a choice between recurrence of cancer and quality of life and I only made the decision after much prayer and careful consideration and have left the rest up to my Lord Jesus. Each of you need to make a decision based on your individual results and I encourage you to stay with T if you can bear the side effects. ","each of you need to make a decision based on your individual results and i encourage you to stay with t if you can bear the side effects. ","Side effects Present - because of no direct inverter word before ",tamoxifen
"LCIS with 1mm invasive found with surgical biopsy. Lumpectomy showed no more invasive in the breast but lots of LCIS. Doctor was shocked to find 4 lymph nodes positive. Chemo followed. Then double mastectomies. Wanted to avoid the DIEP flap reconstruction so expanders were put in the same day. 5 weeks radiation. Have been on Tamoxifen for 3 months. First side effect noticed was my eyelashes were almost gone. Was scared to lose my hair again. Stopped T for 3 weeks but husband begged me to go back on it. Eyelashes are fully back. Main side effects since have been flushing, small headaches of short duration mainly around one eye, trouble sleeping, dizziness when suddenly sitting up or standing, no noticeable weight gain yet. I've read others comment on joint pain. I had achiness in my arms and legs after chemo. Had been drinking tons of water with Crystal Light as flavoring. It occured to my doc husband an uncommon side effect of the sweetener Aspartame is joint pain. Switched to Propel and the joint achiness immediately went away. Thought others would like to know this. Stay positive!!    ","main side effects since have been flushing, small headaches of short duration mainly around one eye, trouble sleeping, dizziness when suddenly sitting up or standing, no noticeable weight gain yet.","Side effects Present - because symptoms mentioned",tamoxifen
"49yr old diagnoised with stage2 infiltrating lobular carcinoma. Had 2 lumpectomies-no lymph nodes spread. Started on Tamoxifen for 9mths then after total hysterectomy was put on Arimidex-found the side effects terrible-changed to Femmera-still terrible. Now back on Tamoxifen-still some side effects but Nothing compaired to the other two medications!!!Better to take something rather than nothing.","started on tamoxifen for 9mths then after total hysterectomy was put on arimidex-found the side effects terrible-changed to femmera-still terrible.","Side effects Present - because of no direct inverter word before ",tamoxifen
"49yr old diagnoised with stage2 infiltrating lobular carcinoma. Had 2 lumpectomies-no lymph nodes spread. Started on Tamoxifen for 9mths then after total hysterectomy was put on Arimidex-found the side effects terrible-changed to Femmera-still terrible. Now back on Tamoxifen-still some side effects but Nothing compaired to the other two medications!!!Better to take something rather than nothing.","now back on tamoxifen-still some side effects but nothing compaired to the other two medications!!","Side effects Present - because of no direct inverter word before ",tamoxifen
"I WAS DIAGNOSED WITH TYPE 0 DCIS AND HAD DOUBLE=MASECTOMY AND RADIATON AT TIME OF MASECTOMIES, NO CHEMO NEEDED AND NODES HAD A CLEAR MARGIN. TUMOE WAS 2.5CM AND REMOVED WHOLE. I AM BEING ADVISED BY DR. TO TRY TAMOXAFLIN, BUT NOT SURE IT WOULD BE WORTH THE SIDE EFFECTS. ALSO I HAVE MVP AND ITS MY UNDERSTANDING THIS DRUG WOULD BE DANGEROUS TO ME AND INTENSIFY MY MVP. I WOULD APPRECIATE ANY FEEDBACK ON THIS TO HELP ME IN MAKING A DECISION WITH THIS DRUG. PERSONALLY, I FEEL MY QUALITY OF LIFE IS MORE IMPORTANT AND WHO KNOWS YOU BETTER THAN YOURSELF. RIGHT...THANKS","i am being advised by dr. to try tamoxaflin, but not sure it would be worth the side effects.","Possibly no side effects",tamoxifen
"I am 36 years old. Diagnosed with DCIS stage 1 on 08/05/2009. Surgery is complete, finished radiation now I am on to Tamoxifen. The only side effects I have experienced is some headaches. I started tamox on November 29th and have only had 3 headachs. Follow up apts in 2 weeks. By the grace of God things are going well. ","the only side effects i have experienced is some headaches.","Side effects Present - because symptoms mentioned",tamoxifen
"I have had virtually no side effects. The only side effect that I believe I've experienced is one eye hurts occasionally.","i have had virtually no side effects.","No Side Effects",tamoxifen
"Two months in and no side effects.  I'm having hot flashes, but they started with chemo, so don't know if it was that or the Tamoxifen.  ","two months in and no side effects.","No Side Effects",tamoxifen
"It's amazing how this medication affects some people and not others.  I was one of the unlucky ones.  I took Tamoxifen for 6 weeks, and of the 20 plus side effects they list I saw about 15 of them along with a couple not listed.  Huge blood spots broke out under the skin on both legs, I lost about 20 lbs, and have never felt so bad in my life.  Words do not describe how this medicine made me feel. Cramping toes, unbelievable hot flashes, no appetite, extreme tiredness, fuzzy brained....I could go on. I will take my chances on recurrance of cancer than have the quality of life I had with this medication.","i took tamoxifen for 6 weeks, and of the 20 plus side effects they list i saw about 15 of them along with a couple not listed.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I have been taking T for 1 month.  I have experienced major hot flashes day and night. No other side effects at this time.  Diagnosed with stage 2 non-infiltrating ductal carcinoma. Had 1st lumpectomy April 09 margins not clean had 2nd sugery May 09. Radiation treatment 2 x's a day for five days = Mamosite balloon.  Chemo treamtment was every 3 weeks for four treamtments. I an thankful and consider myself very lucky to now be a survivor. I keep a positive attitude and stay active. I make sure I laugh everyday.","no other side effects at this time.","Possibly no side effects",tamoxifen
"Today was my first tablet I am a healthncare professional and am not looking forward to this experience I was diagnosed wit Stage 1 Estr Positive Oncotype score 26
First lumpectomy 5/26 margins not clear 2nd surgery on 6/16  Nodes neg 31 tx radiation which caused extreme fatigue--Just getting over that-already have lots of joint pain and hard to walk and have situational depression so will be interesting to see if Tamox increases symptoms I have put it in God's hands to help me get through the next 5 years and have good support system Wish me luck and many prayers","today was my first tablet i am a healthncare professional and am not looking forward to this experience i was diagnosed wit stage 1 estr positive oncotype score 26
first lumpectomy 5/26 margins not clear 2nd surgery on 6/16  nodes neg 31 tx radiation which caused extreme fatigue--just getting over that-already have lots of joint pain and hard to walk and have situational depression so will be interesting to see if tamox increases symptoms i have put it in god\'s hands to help me get through the next 5 years and have good support system wish me luck and many prayers","Side effects Present - because symptoms mentioned",tamoxifen
" 49 premenopausal diagnosed with BC 07/08. Stage 3 bilat mast. with reconstruction. Chemo-4 A/C & 4Taxotere, 33 radiation. Started T 4/09. Have had joint pain, depression, extreme fatigue, off and on with hot flashes ongoing. Hoping side effects won't continue the 5 years but thinking if effective keeping recurrance at bay I will tolerate them.","hoping side effects won\'t continue the 5 years but thinking if effective keeping recurrance at bay i will tolerate them.","Side effects Present - because of no direct inverter word before ",tamoxifen
"Have been taking T for 1 year.  Weight gain, forgetfulness and tiredness. No other side effects","no other side effects","Possibly no side effects",tamoxifen
"I was put on Tamoxifen 7/2008 after a mastectomy. Leg & foot cramps/sleep sometimes good sometimes not.Dizzy about 2pm & cold flashes about 8 pm. Just started with ache in bones & muscles. I also found summer heat & outside activities bother me. Test coming back great .I feel some of the symptoms that others complain about is from forcing your body into menopause before it is ready.","test coming back great .i feel some of the symptoms that others complain about is from forcing your body into menopause before it is ready.","Side effects Present - because of no direct inverter word before ",tamoxifen
"After taking Arimedex for 8 mos., I ask for a change in medication due to the side effects.(Muscle weakness, deep bone pain, fatigue etc.) I have not had these side effects with Tamoxifen, however, I have had some weight gain.  Is this normal?","after taking arimedex for 8 mos., i ask for a change in medication due to the side effects.","Side effects Present - because of no direct inverter word before ",tamoxifen
"After taking Arimedex for 8 mos., I ask for a change in medication due to the side effects.(Muscle weakness, deep bone pain, fatigue etc.) I have not had these side effects with Tamoxifen, however, I have had some weight gain.  Is this normal?","i have not had these side effects with tamoxifen, however, i have had some weight gain.","Possibly no side effects",tamoxifen
"I have ADD. The symptoms increased dramatically when I started using tamoxifen.Had to stop taking it after 2.5 years. It felt like having fibro-myalgia and chronic fatigue syndrome at the same time. I was severely depressed and even contemplated suicide. Was crippled by arthritis, couldn't remember anything for more than a couple of minutes, became disoriented, emotionally unstable. I'm a clinical psychologist, Ph.D., but had to stop working because of symptoms. None of my doctors could tell what was wrong with me. Stopped taking it 3 years ago, and much of my cognitive functioning hasn't returned. I know many doctors who admit they won't treat a patient who won't take tam. This is unconscionable, as is the behavior of doctors who withhold discussing possible side effects for fear patient will refuse it. As far as I could find out, there has been practically no research on the cognitive side-effects. I think it is absolutely essential that these cognitive symptoms receive attention and research. Patients with ADHD MUST BE WARNED of possible side effects. This drug can ruin your life.","the symptoms increased dramatically when i started using tamoxifen.had to stop taking it after 2.5 years.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I have ADD. The symptoms increased dramatically when I started using tamoxifen.Had to stop taking it after 2.5 years. It felt like having fibro-myalgia and chronic fatigue syndrome at the same time. I was severely depressed and even contemplated suicide. Was crippled by arthritis, couldn't remember anything for more than a couple of minutes, became disoriented, emotionally unstable. I'm a clinical psychologist, Ph.D., but had to stop working because of symptoms. None of my doctors could tell what was wrong with me. Stopped taking it 3 years ago, and much of my cognitive functioning hasn't returned. I know many doctors who admit they won't treat a patient who won't take tam. This is unconscionable, as is the behavior of doctors who withhold discussing possible side effects for fear patient will refuse it. As far as I could find out, there has been practically no research on the cognitive side-effects. I think it is absolutely essential that these cognitive symptoms receive attention and research. Patients with ADHD MUST BE WARNED of possible side effects. This drug can ruin your life.","i\'m a clinical psychologist, ph.d., but had to stop working because of symptoms.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I have ADD. The symptoms increased dramatically when I started using tamoxifen.Had to stop taking it after 2.5 years. It felt like having fibro-myalgia and chronic fatigue syndrome at the same time. I was severely depressed and even contemplated suicide. Was crippled by arthritis, couldn't remember anything for more than a couple of minutes, became disoriented, emotionally unstable. I'm a clinical psychologist, Ph.D., but had to stop working because of symptoms. None of my doctors could tell what was wrong with me. Stopped taking it 3 years ago, and much of my cognitive functioning hasn't returned. I know many doctors who admit they won't treat a patient who won't take tam. This is unconscionable, as is the behavior of doctors who withhold discussing possible side effects for fear patient will refuse it. As far as I could find out, there has been practically no research on the cognitive side-effects. I think it is absolutely essential that these cognitive symptoms receive attention and research. Patients with ADHD MUST BE WARNED of possible side effects. This drug can ruin your life.","this is unconscionable, as is the behavior of doctors who withhold discussing possible side effects for fear patient will refuse it.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I have ADD. The symptoms increased dramatically when I started using tamoxifen.Had to stop taking it after 2.5 years. It felt like having fibro-myalgia and chronic fatigue syndrome at the same time. I was severely depressed and even contemplated suicide. Was crippled by arthritis, couldn't remember anything for more than a couple of minutes, became disoriented, emotionally unstable. I'm a clinical psychologist, Ph.D., but had to stop working because of symptoms. None of my doctors could tell what was wrong with me. Stopped taking it 3 years ago, and much of my cognitive functioning hasn't returned. I know many doctors who admit they won't treat a patient who won't take tam. This is unconscionable, as is the behavior of doctors who withhold discussing possible side effects for fear patient will refuse it. As far as I could find out, there has been practically no research on the cognitive side-effects. I think it is absolutely essential that these cognitive symptoms receive attention and research. Patients with ADHD MUST BE WARNED of possible side effects. This drug can ruin your life.","as far as i could find out, there has been practically no research on the cognitive side-effects.","Possibly no side effects",tamoxifen
"I have ADD. The symptoms increased dramatically when I started using tamoxifen.Had to stop taking it after 2.5 years. It felt like having fibro-myalgia and chronic fatigue syndrome at the same time. I was severely depressed and even contemplated suicide. Was crippled by arthritis, couldn't remember anything for more than a couple of minutes, became disoriented, emotionally unstable. I'm a clinical psychologist, Ph.D., but had to stop working because of symptoms. None of my doctors could tell what was wrong with me. Stopped taking it 3 years ago, and much of my cognitive functioning hasn't returned. I know many doctors who admit they won't treat a patient who won't take tam. This is unconscionable, as is the behavior of doctors who withhold discussing possible side effects for fear patient will refuse it. As far as I could find out, there has been practically no research on the cognitive side-effects. I think it is absolutely essential that these cognitive symptoms receive attention and research. Patients with ADHD MUST BE WARNED of possible side effects. This drug can ruin your life.","i think it is absolutely essential that these cognitive symptoms receive attention and research.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I have ADD. The symptoms increased dramatically when I started using tamoxifen.Had to stop taking it after 2.5 years. It felt like having fibro-myalgia and chronic fatigue syndrome at the same time. I was severely depressed and even contemplated suicide. Was crippled by arthritis, couldn't remember anything for more than a couple of minutes, became disoriented, emotionally unstable. I'm a clinical psychologist, Ph.D., but had to stop working because of symptoms. None of my doctors could tell what was wrong with me. Stopped taking it 3 years ago, and much of my cognitive functioning hasn't returned. I know many doctors who admit they won't treat a patient who won't take tam. This is unconscionable, as is the behavior of doctors who withhold discussing possible side effects for fear patient will refuse it. As far as I could find out, there has been practically no research on the cognitive side-effects. I think it is absolutely essential that these cognitive symptoms receive attention and research. Patients with ADHD MUST BE WARNED of possible side effects. This drug can ruin your life.","patients with adhd must be warned of possible side effects.","Side effects Present - because of no direct inverter word before ",tamoxifen
"Had Breast Cancer July 07. Went through 2 surgerys and radiation. I started Tam in Jan 08 and have very little side effects. I do get fatigued, but I train horses so I am very physical. My night sweats are kept in control with 1000 IU's of vitamine E daily.","i started tam in jan 08 and have very little side effects.","Side effects Present - because of no direct inverter word before ",tamoxifen
"Tam. on 3 yrs.  Side effects, overheating, weight gain, loss of breath, tired, can't exercise, face stays red for hours after exercise or being in sun.  Talking wiith doctor to be removed.  Sister and I both have had breast cancer.  High risk for her type XXXneg. I am DCIS. Sister was 39 yr. 1st time and has returned third time. I was 43 and 46 now.","side effects, overheating, weight gain, loss of breath, tired, can\'t exercise, face stays red for hours after exercise or being in sun.","Side effects Present - because symptoms mentioned",tamoxifen
